workbook_sheet,n_rows,n_cols,columns,any_null,all_null_cols
accord_v2:accords,235,4,"accord_id,accord_name,accord_category,normalized_accord_name",0,
accord_v2:accord_note,1518,9,"accord_id,note_id,note_role,layer,importance_weight,presence_prob,compatibility_score,stability_class,rank_in_layer",0,
accord_v2:accord_dictionary,299,3,"accord_id,normalized_accord_name,canonical_accord_display",0,
accord_v2:note_dictionary,667,3,"note_id,normalized_note_name,canonical_note_display",0,
accord_v2:accord_raw,1518,12,"Accord Name,Accord Category,accord_id,Note Name,note_id,Note Role,Layer,Importance Weight,Typical Presence,Blend Compatibility,Stability Class,stability_class",0,
accord_v2:accord_flat,1518,14,"accord_id,accord_name,accord_category,normalized_accord_name,note_id,canonical_note_display,normalized_note_name,note_role,layer,importance_weight,presence_prob,compatibility_score,stability_class,rank_in_layer",0,
notes_v1:notes,437,25,"note_id,note_name,normalized_note_name,chemical_name,cas_number_clean,chemical_family,odor_family,key_nuances,short_description,accords_used_in_json,volatility_class,volatility_classes_json,molecular_weight,boiling_point_c,vapor_pressure,logP,odor_threshold_mg_L,odor_strength,tenacity_raw,tenacity_min_hrs,tenacity_max_hrs,substantivity_index,flash_point_c,solubility,natural_source",1,
notes_v1:note_dictionary,437,4,"raw_note_name,note_id,normalized_note_name,canonical_note_display",0,
notes_v1:note_accord_usage,1020,4,"note_id,raw_accord_token,normalized_accord_name,accord_id",1,
notes_v1:notes_raw,720,23,"note_id,normalized_note_name,Note Name,Chemical Name,CAS Number,cas_number_clean,Chemical Family,Odor Family,Key Nuances,Accords Used In,Volatility Class,Molecular Weight,Boiling Point (°C),Vapor Pressure,LogP,Odor Threshold (mg/L),Odor Strength,Tenacity (hrs),Substantivity Index,Flash Point (°C),Solubility,Natural Source,Short Description",1,
notes_v1:unmapped_accord_tokens,10,2,"raw_accord_token,normalized_accord_name",0,
master:README,10,1,"This workbook connects your three datasets (perfumes, accords, notes) using stable IDs.",1,
master:training_examples,10000,17,"request_id,created_at,user_text,age,age_bucket,gender,region,background_tag,occasion_tag,descriptor_tags_csv,avoid_notes_csv,target_accord_id_primary,target_accord_id_secondary,target_perfume_id_reference,user_rating_1_5,accepted_flag,notes",1,notes
master:descriptor_vocab,98,1,descriptor,0,
master:occasion_vocab,41,1,occasion,0,
master:perfumes,450,14,"perfume_id,perfume_name,brand,fragrance_family,gender,season_raw,season_tags_json,longevity,sillage,description,main_accords_raw,top_notes_raw,middle_notes_raw,base_notes_raw",1,
master:perfume_accord,2593,5,"perfume_id,accord_id,accord_raw,accord_norm,accord_rank",0,
master:perfume_note,3784,6,"perfume_id,note_id,note_raw,note_norm,position,note_rank",0,
master:accords,315,4,"accord_id,accord_name,accord_category,normalized_accord_name",0,
master:accord_note,1518,9,"accord_id,note_id,note_role,layer,importance_weight,presence_prob,compatibility_score,stability_class,rank_in_layer",0,
master:notes,883,25,"note_id,normalized_note_name,note_name,chemical_name,cas_number_clean,chemical_family,odor_family,key_nuances,short_description,accords_used_in_json,volatility_class,volatility_classes_json,molecular_weight,boiling_point_c,vapor_pressure,logP,odor_threshold_mg_L,odor_strength,tenacity_raw,tenacity_min_hrs,tenacity_max_hrs,substantivity_index,flash_point_c,solubility,natural_source",1,
master:accord_dictionary_master,348,5,"raw_accord_name,accord_id,normalized_accord_name,canonical_accord_display,source",0,
master:note_dictionary_master,899,5,"raw_note_name,note_id,normalized_note_name,canonical_note_display,source",0,
master:accord_recipe_default,1656,12,"recipe_version,accord_id,accord_name,accord_category,note_id,note_name,layer,note_role,default_pct_in_accord,min_pct_in_accord,max_pct_in_accord,generation_basis",0,
master:descriptor_synonyms,96,2,"canonical_descriptor,phrase",0,
master:occasion_synonyms,50,2,"canonical_occasion,phrase",0,
recipes:README,10,1,"This workbook connects your three datasets (perfumes, accords, notes) using stable IDs.",1,
recipes:perfumes,450,14,"perfume_id,perfume_name,brand,fragrance_family,gender,season_raw,season_tags_json,longevity,sillage,description,main_accords_raw,top_notes_raw,middle_notes_raw,base_notes_raw",1,
recipes:perfume_accord,2593,5,"perfume_id,accord_id,accord_raw,accord_norm,accord_rank",0,
recipes:perfume_note,3784,6,"perfume_id,note_id,note_raw,note_norm,position,note_rank",0,
recipes:accords,315,4,"accord_id,accord_name,accord_category,normalized_accord_name",0,
recipes:accord_note,1518,9,"accord_id,note_id,note_role,layer,importance_weight,presence_prob,compatibility_score,stability_class,rank_in_layer",0,
recipes:notes,883,25,"note_id,normalized_note_name,note_name,chemical_name,cas_number_clean,chemical_family,odor_family,key_nuances,short_description,accords_used_in_json,volatility_class,volatility_classes_json,molecular_weight,boiling_point_c,vapor_pressure,logP,odor_threshold_mg_L,odor_strength,tenacity_raw,tenacity_min_hrs,tenacity_max_hrs,substantivity_index,flash_point_c,solubility,natural_source",1,
recipes:accord_dictionary_master,348,5,"raw_accord_name,accord_id,normalized_accord_name,canonical_accord_display,source",0,
recipes:note_dictionary_master,899,5,"raw_note_name,note_id,normalized_note_name,canonical_note_display,source",0,
recipes:accord_recipe_default,1656,12,"recipe_version,accord_id,accord_name,accord_category,note_id,note_name,layer,note_role,default_pct_in_accord,min_pct_in_accord,max_pct_in_accord,basis",0,
