accord_category,used,total,util_pct
Uncategorized,13,74,17.6
Bridge,14,19,73.7
Gourmand,1,18,5.6
Floral,11,11,100.0
Woody,9,9,100.0
Leather,8,8,100.0
Fruity,1,8,12.5
Dark,8,8,100.0
Amber,7,7,100.0
Fresh,6,6,100.0
Earthy / Animalic,6,6,100.0
Spicy,6,6,100.0
Aromatic,6,6,100.0
Chypre,2,5,40.0
Powdery,4,4,100.0
Mineral,4,4,100.0
Earthy,0,4,0.0
Abstract,0,3,0.0
Green,3,3,100.0
Laundry/Clean,3,3,100.0
Mossy,0,3,0.0
Musky,3,3,100.0
Animalic,3,3,100.0
Fresh Spicy,3,3,100.0
Resinous,3,3,100.0
Aromatic Spicy,2,2,100.0
Floral Spicy,2,2,100.0
Oriental Spicy,2,2,100.0
Clean,2,2,100.0
Citrus,2,2,100.0
Resinous Smoky,2,2,100.0
Resinous Bitter,1,1,100.0
Resinous Amber,1,1,100.0
Resinous Leather,1,1,100.0
Oud/Animalic,1,1,100.0
Woody Spicy,1,1,100.0
Oud/Woody,1,1,100.0
Sacred Smoky,1,1,100.0
Oriental,1,1,100.0
Musky/Clean,1,1,100.0
Musk,1,1,100.0
Resinous Spicy,1,1,100.0
Sweet/Fruity,1,1,100.0
Woody Musk,1,1,100.0
Shampoo/Clean,1,1,100.0
Sweet/Amber,1,1,100.0
Sweet Spicy,1,1,100.0
Sweet Leather Spicy,1,1,100.0
Sweet Amber,1,1,100.0
Tea,1,1,100.0
Sweet,1,1,100.0
Spicy Warm,1,1,100.0
Tobacco,1,1,100.0
Spicy Leather,1,1,100.0
Spicy Dry,1,1,100.0
Spicy Aromatic,1,1,100.0
Smoky Woody,1,1,100.0
Smoky Oud,1,1,100.0
Smoky Incense,1,1,100.0
Smoky,1,1,100.0
Shampoo/Herbal,1,1,100.0
Shampoo/Floral,1,1,100.0
Woody Amber,1,1,100.0
Gourmand Nutty,1,1,100.0
Marine,1,1,100.0
Balsamic Smoky,1,1,100.0
Floral Animalic,1,1,100.0
Earthy / Smoky,1,1,100.0
Earthy / Herbal,0,1,0.0
Earthy / Green,1,1,100.0
Dry Woody Spicy,1,1,100.0
Dry Herbal,0,1,0.0
Citrus Floral,1,1,100.0
Boozy,0,1,0.0
Aromatic/Fougere,1,1,100.0
Floral Sweet,1,1,100.0
Aromatic Citrus,1,1,100.0
Animalic Spicy,1,1,100.0
Animalic Resin,1,1,100.0
Animalic Leather,1,1,100.0
Animalic Amber,1,1,100.0
Amber Woody,1,1,100.0
Amber Spicy,1,1,100.0
Abstract Spicy,1,1,100.0
Floral Powdery,1,1,100.0
Floral/Powdery,1,1,100.0
Laundry/Citrus,1,1,100.0
Fruity Sweet,1,1,100.0
Lactonic,0,1,0.0
Industrial Smoky,1,1,100.0
Incense,1,1,100.0
Hybrid,1,1,100.0
Green Resinous,1,1,100.0
Abstract Powdery,1,1,100.0
Gourmand Dark,1,1,100.0
Fruity/Floral,1,1,100.0
Fruity Green,1,1,100.0
Fougere,0,1,0.0
Fruity Fresh,1,1,100.0
Fruity Floral,1,1,100.0
Fruity / Green,1,1,100.0
Fruity / Dark,1,1,100.0
Fruity / Creamy,0,1,0.0
Fresh/Woody,1,1,100.0
Fresh Woody,1,1,100.0
Fresh Aquatic,1,1,100.0
Woody/Amber,1,1,100.0
