accord_id,accord_name,accord_category,normalized_accord_name,used_as_primary,used_as_secondary,used_in_training
ACC-0001,Alcohol,Uncategorized,alcohol,False,False,False
ACC-0002,Aldehydic,Fresh,aldehydic,True,True,True
ACC-0003,Almond,Gourmand,almond,False,False,False
ACC-0004,Amber,Amber,amber,True,True,True
ACC-0005,Animalic,Animalic,animalic,True,False,True
ACC-0006,Anis,Uncategorized,anis,False,False,False
ACC-0007,Aquatic,Fresh,aquatic,True,True,True
ACC-0008,Aromatic,Aromatic,aromatic,True,True,True
ACC-0009,Balsamic,Uncategorized,balsamic,False,False,False
ACC-0010,Beeswax,Uncategorized,beeswax,False,False,False
ACC-0011,Bergamot,Uncategorized,bergamot,False,False,False
ACC-0012,Boozy,Uncategorized,boozy,False,False,False
ACC-0013,Bourbon,Uncategorized,bourbon,False,False,False
ACC-0014,Cacao,Uncategorized,cacao,False,False,False
ACC-0015,Camphor,Uncategorized,camphor,False,False,False
ACC-0016,Captivating,Uncategorized,captivating,False,False,False
ACC-0017,Caramel,Gourmand,caramel,False,False,False
ACC-0018,Cardamom,Uncategorized,cardamom,False,False,False
ACC-0019,Chocolate,Uncategorized,chocolate,False,False,False
ACC-0020,Chypre,Mossy,chypre,False,False,False
ACC-0021,Cinnamon,Uncategorized,cinnamon,False,False,False
ACC-0022,Citrus,Fresh,citrus,True,True,True
ACC-0023,Clean,Uncategorized,clean,True,True,True
ACC-0024,Coconut,Gourmand,coconut,False,False,False
ACC-0025,Coffee,Uncategorized,coffee,False,False,False
ACC-0026,Coniferous,Uncategorized,coniferous,False,False,False
ACC-0027,Damp,Uncategorized,damp,False,False,False
ACC-0028,Earthy,Woody,earthy,True,True,True
ACC-0029,Fig,Uncategorized,fig,False,False,False
ACC-0030,Flora,Uncategorized,flora,False,False,False
ACC-0031,Floral,Uncategorized,floral,True,True,True
ACC-0032,Fresh,Uncategorized,fresh,True,True,True
ACC-0033,Fresh Spicy,Fresh Spicy,fresh_spicy,True,True,True
ACC-0033,Fresh Spicy,Spicy,fresh_spicy,True,True,True
ACC-0034,Fresh Sweet,Uncategorized,fresh_sweet,True,True,True
ACC-0035,Fruit,Uncategorized,fruit,False,False,False
ACC-0036,Fruity,Fruity,fruity,False,False,False
ACC-0037,Gourmand,Gourmand,gourmand,False,False,False
ACC-0038,Grassy,Uncategorized,grassy,False,False,False
ACC-0039,Green,Green,green,True,True,True
ACC-0040,Herbal,Uncategorized,herbal,False,False,False
ACC-0041,Honey,Gourmand,honey,False,False,False
ACC-0042,Honeyed,Uncategorized,honeyed,False,False,False
ACC-0043,Incense,Resinous,incense,True,True,True
ACC-0044,Inky,Uncategorized,inky,False,False,False
ACC-0045,Intense,Uncategorized,intense,False,False,False
