accord_id,accord_name,accord_category
ACC-0001,Alcohol,Uncategorized
ACC-0003,Almond,Gourmand
ACC-0006,Anis,Uncategorized
ACC-0009,Balsamic,Uncategorized
ACC-0010,Beeswax,Uncategorized
ACC-0011,Bergamot,Uncategorized
ACC-0012,Boozy,Uncategorized
ACC-0013,Bourbon,Uncategorized
ACC-0014,Cacao,Uncategorized
ACC-0015,Camphor,Uncategorized
ACC-0016,Captivating,Uncategorized
ACC-0017,Caramel,Gourmand
ACC-0018,Cardamom,Uncategorized
ACC-0019,Chocolate,Uncategorized
ACC-0020,Chypre,Mossy
ACC-0021,Cinnamon,Uncategorized
ACC-0024,Coconut,Gourmand
ACC-0025,Coffee,Uncategorized
ACC-0026,Coniferous,Uncategorized
ACC-0027,Damp,Uncategorized
ACC-0029,Fig,Uncategorized
ACC-0030,Flora,Uncategorized
ACC-0035,Fruit,Uncategorized
ACC-0036,Fruity,Fruity
ACC-0037,Gourmand,Gourmand
ACC-0038,Grassy,Uncategorized
ACC-0040,Herbal,Uncategorized
ACC-0041,Honey,Gourmand
ACC-0042,Honeyed,Uncategorized
ACC-0044,Inky,Uncategorized
ACC-0045,Intense,Uncategorized
ACC-0046,Iris,Uncategorized
ACC-0047,Jasmine,Uncategorized
ACC-0048,Lactonic,Uncategorized
ACC-0049,Lavender,Uncategorized
ACC-0052,Marine,Uncategorized
ACC-0053,Metallic,Uncategorized
ACC-0054,Milky,Gourmand
ACC-0056,Minty,Uncategorized
ACC-0057,Mossy,Mossy
ACC-0060,Nutty,Uncategorized
ACC-0061,Oriental,Uncategorized
ACC-0064,Patchouli,Uncategorized
ACC-0065,Pear,Uncategorized
ACC-0067,Resinous,Uncategorized
ACC-0069,Rosy,Uncategorized
ACC-0070,Rum,Uncategorized
ACC-0071,Salty,Uncategorized
ACC-0072,Sand,Uncategorized
ACC-0073,Sandalwood,Uncategorized
ACC-0074,Sensual,Uncategorized
ACC-0076,Soapy,Uncategorized
ACC-0078,Spices,Uncategorized
ACC-0081,Swe,Uncategorized
ACC-0083,Tea,Uncategorized
ACC-0084,Tobacco,Gourmand
ACC-0085,Tropical,Uncategorized
ACC-0086,Tuberose,Uncategorized
ACC-0087,Vanilla,Gourmand
ACC-0088,Vetiver,Uncategorized
ACC-0089,Vibrant,Uncategorized
ACC-0091,Warm,Uncategorized
ACC-0093,Whisky,Uncategorized
ACC-0098,nk,Abstract
ACC-0099,Ink,Abstract
ACC-0103,Cold Metallic Wood,Abstract
ACC-0110,Vanilla Gourmand,Gourmand
ACC-0117,Soft Chypre,Chypre
ACC-0119,Mossy Forest,Mossy
ACC-0126,Earthy Root,Earthy
ACC-0136,Dry Hay,Dry Herbal
ACC-0137,Classic Fougere,Fougere
ACC-0173,Milky Cereal,Lactonic
ACC-0176,Boozy Vanilla,Boozy
ACC-0198,Smoked Vanilla,Bridge
ACC-0201,Powdered Incense,Bridge
ACC-0203,Creamy Smoke Woods,Bridge
ACC-0208,Warm Spiced Woods,Bridge
ACC-0211,Aromatic Fougere Soft,Bridge
ACC-0223,Dry Hemp Earth,Earthy
ACC-0224,Dank Herbal Soil,Earthy / Herbal
ACC-0225,Forest Floor,Earthy
ACC-0226,Wet Soil Resin,Earthy
ACC-0234,uicy Pear Skin,Fruity
ACC-0235,Juicy Pear Skin,Fruity
ACC-0238,Peach Nectar,Fruity
ACC-0240,Tropical Passion Fruit,Fruity
ACC-0241,Red Apple Juice,Fruity
ACC-0242,Fig Milk Fruit,Fruity / Creamy
ACC-0260,Chypre Classic,Chypre
ACC-0261,Chypre Fruity,Chypre
ACC-0268,Vanilla Custard,Gourmand
ACC-0269,Caramel Flan,Gourmand
ACC-0270,Chocolate Fudge,Gourmand
ACC-0271,Almond Croissant,Gourmand
ACC-0272,Honey Cake,Gourmand
ACC-0273,Milk Chocolate Truffle,Gourmand
ACC-0274,Burnt Sugar Crème,Gourmand
ACC-0297,Tonka,Gourmand
ACC-0298,Peach,Fruity
ACC-0300,Creamy,Uncategorized
ACC-0301,Exotic,Uncategorized
ACC-0302,Medicinal,Uncategorized
ACC-0303,Modern,Uncategorized
ACC-0304,Ozone,Uncategorized
ACC-0305,Resin,Uncategorized
ACC-0306,Romantic,Uncategorized
ACC-0307,Smoke,Uncategorized
ACC-0309,Soft Gourmand,Uncategorized
