n,count
ACC-0112,395
ACC-0170,351
ACC-0007,226
ACC-0118,184
ACC-0063,157
ACC-0295,135
ACC-0102,120
ACC-0130,120
ACC-0107,118
ACC-0131,115
ACC-0161,115
ACC-0171,115
ACC-0283,110
ACC-0144,108
ACC-0055,106
ACC-0166,100
ACC-0167,93
ACC-0181,88
ACC-0134,88
ACC-0104,87
ACC-0207,86
ACC-0285,82
ACC-0066,82
ACC-0281,81
ACC-0127,81
ACC-0248,80
ACC-0177,80
ACC-0206,79
ACC-0148,79
ACC-0209,78
ACC-0293,78
ACC-0022,77
ACC-0212,76
ACC-0109,72
ACC-0288,71
ACC-0249,70
ACC-0280,70
ACC-0111,69
ACC-0277,68
ACC-0184,68
ACC-0121,68
ACC-0172,67
ACC-0128,67
ACC-0132,65
ACC-0075,65
ACC-0236,64
ACC-0282,64
ACC-0200,62
ACC-0289,62
ACC-0187,61
ACC-0122,61
ACC-0162,61
ACC-0287,61
ACC-0253,60
ACC-0213,60
ACC-0275,59
ACC-0239,58
ACC-0155,57
ACC-0222,57
ACC-0179,56
ACC-0185,55
ACC-0264,55
ACC-0174,55
ACC-0194,53
ACC-0153,53
ACC-0227,52
ACC-0142,52
ACC-0292,51
ACC-0140,51
ACC-0163,51
ACC-0105,50
ACC-0157,50
ACC-0114,49
ACC-0138,49
ACC-0247,49
ACC-0164,48
ACC-0125,48
ACC-0034,48
ACC-0180,48
ACC-0159,48
ACC-0214,47
ACC-0233,47
ACC-0156,47
ACC-0250,47
ACC-0190,47
ACC-0150,47
ACC-0039,47
ACC-0050,47
ACC-0183,46
ACC-0123,45
ACC-0033,44
ACC-0082,44
ACC-0199,43
ACC-0258,43
ACC-0195,42
ACC-0252,42
ACC-0246,42
ACC-0139,41
ACC-0193,41
ACC-0182,41
ACC-0106,41
ACC-0197,41
ACC-0095,41
ACC-0175,40
ACC-0004,40
ACC-0191,40
ACC-0168,40
ACC-0080,40
ACC-0097,39
ACC-0133,39
ACC-0141,38
ACC-0254,37
ACC-0165,37
ACC-0202,37
ACC-0178,36
ACC-0229,36
ACC-0147,36
ACC-0267,36
ACC-0284,36
ACC-0244,35
ACC-0145,35
ACC-0286,35
ACC-0196,35
ACC-0149,34
ACC-0257,34
ACC-0100,33
ACC-0205,33
ACC-0059,33
ACC-0160,32
ACC-0210,32
ACC-0251,32
ACC-0058,32
ACC-0028,32
ACC-0062,32
ACC-0158,30
ACC-0266,30
ACC-0256,30
ACC-0002,30
ACC-0129,30
ACC-0291,29
ACC-0135,28
ACC-0186,28
ACC-0051,27
ACC-0008,27
ACC-0278,26
ACC-0120,26
ACC-0115,26
ACC-0204,25
ACC-0151,25
ACC-0169,23
ACC-0124,23
ACC-0296,22
ACC-0032,21
ACC-0031,21
ACC-0090,21
ACC-0023,20
ACC-0308,20
ACC-0245,20
ACC-0068,20
ACC-0279,19
ACC-0154,19
ACC-0262,19
ACC-0299,18
ACC-0265,18
ACC-0243,17
ACC-0294,17
ACC-0263,17
ACC-0113,17
ACC-0152,17
ACC-0094,17
ACC-0259,16
ACC-0096,16
ACC-0108,16
ACC-0079,16
ACC-0077,16
ACC-0146,15
ACC-0116,14
ACC-0290,14
ACC-0101,14
ACC-0189,13
ACC-0232,13
ACC-0092,13
ACC-0221,12
ACC-0237,12
ACC-0188,12
ACC-0143,11
ACC-0215,11
ACC-0217,11
ACC-0276,11
ACC-0228,11
ACC-0219,11
ACC-0231,11
ACC-0216,10
ACC-0005,10
ACC-0230,10
ACC-0218,9
ACC-0220,7
ACC-0192,7
ACC-0255,5
ACC-0043,3
