word,n
i,8561
a,5604
it,4235
m,3926
for,3361
that,3324
me,3320
something,3276
and,3179
want,3005
i'm,2578
of,2238
from,1831
in,1761
keep,1712
out,1697
prefer,1495
the,1495
drydown,1495
nothing,1469
after,1442
background,1442
avoid,1429
completely,1429
if,1387
s,1387
leather,1377
please,1358
hate,1332
smoky,1314
powdery,1285
no,1264
with,1254
clean,1254
vibes,1160
basic,1160
looking,1151
fits,1151
make,1136
remind,1136
give,1116
scent,1116
screams,1116
but,1116
stays,1116
need,1110
signature,1110
can,1102
you,1102
do,1102
twist,1102
perfume,1100
citrus,1097
sweet,1083
build,1068
around,1068
feels,1057
turning,989
soon,989
age,931
yo,928
oud,901
here,886
at,848
fresh,769
vanilla,714
musk,697
not,671
night,669
dark,657
office,651
floral,627
amber,619
woody,618
green,615
musky,612
ozonic,594
spicy,594
aquatic,593
mineral,589
rose,406
patchouli,392
aldehydic,387
gym,362
date,359
casual,350
long,350
lasting,350
wedding,347
formal,346
winter,338
evening,338
safe,333
prefers,331
summer,328
day,328
too,327
sharp,327
sweetness,324
finish,322
subtle,316
everyday,303
vibe,302
needs,299
strong,299
projection,299
get,298
headaches,298
heavy,298
on,296
warm,275
likes,191
headache,183
prone,183
natural,177
uae,169
southasia,169
other,167
us,167
any,164
minimalist,164
cut,158
grass,158
mint,156
tea,156
sunny,156
terrace,156
freshly,155
washed,155
linen,155
ozone,155
before,155
storm,155
eu,154
smoke,154
fireplace,154
hotel,153
lobby,153
barbershop,152
towels,152
northafrica,151
wants,150
unique,150
wet,149
stone,149
fog,149
uk,148
cold,146
mountain,146
air,146
incense,143
quiet,143
room,143
pine,142
forest,142
rain,142
salt,140
skin,140
swim,140
black,139
coffee,139
chairs,139
sun,139
warmed,139
peel,139
eastasia,138
sensitive,134
to,134
nightlife,125
wood,123
luxury,123
cabin,123
latam,116
