n,count
Uncategorized,74
Bridge,19
Gourmand,18
Floral,11
Woody,9
Fruity,8
Leather,8
Dark,8
Amber,7
Fresh,6
Aromatic,6
Spicy,6
Earthy / Animalic,6
Chypre,5
Mineral,4
Earthy,4
Powdery,4
Animalic,3
Mossy,3
Fresh Spicy,3
Green,3
Resinous,3
Abstract,3
Musky,3
Laundry/Clean,3
Citrus,2
Oriental Spicy,2
Clean,2
Aromatic Spicy,2
Floral Spicy,2
Resinous Smoky,2
Green Resinous,1
Abstract Powdery,1
Hybrid,1
Abstract Spicy,1
Woody/Amber,1
Woody Amber,1
Fresh Aquatic,1
Musk,1
Fruity/Floral,1
Fruity Floral,1
Fruity Green,1
Tobacco,1
Floral Sweet,1
Citrus Floral,1
Fruity Fresh,1
Floral Powdery,1
Woody Musk,1
Aromatic Citrus,1
Gourmand Nutty,1
Dry Herbal,1
Fougere,1
Fresh Woody,1
Incense,1
Gourmand Dark,1
Sweet,1
Amber Woody,1
Fruity Sweet,1
Spicy Aromatic,1
Spicy Warm,1
Spicy Dry,1
Spicy Leather,1
Sweet Spicy,1
Woody Spicy,1
Resinous Spicy,1
Animalic Spicy,1
Sweet Leather Spicy,1
Dry Woody Spicy,1
Amber Spicy,1
Sweet Amber,1
Marine,1
Tea,1
Lactonic,1
Boozy,1
Animalic Leather,1
Smoky Woody,1
Resinous Amber,1
Resinous Leather,1
Smoky Oud,1
Smoky,1
Animalic Amber,1
Balsamic Smoky,1
Animalic Resin,1
Industrial Smoky,1
Smoky Incense,1
Resinous Bitter,1
Floral Animalic,1
Sacred Smoky,1
Earthy / Green,1
Earthy / Herbal,1
Earthy / Smoky,1
Fruity / Green,1
Fruity / Dark,1
Fruity / Creamy,1
Oriental,1
Oud/Woody,1
Oud/Animalic,1
Floral/Powdery,1
Sweet/Amber,1
Musky/Clean,1
Fresh/Woody,1
Aromatic/Fougere,1
Sweet/Fruity,1
Shampoo/Clean,1
Shampoo/Herbal,1
Shampoo/Floral,1
Laundry/Citrus,1
