accord_id,base,heart,top
ACC-0002,0.0,64.285,35.713
ACC-0003,40.0,60.0,0.0
ACC-0004,100.002,0.0,0.0
ACC-0005,40.0,60.0,0.0
ACC-0007,30.0,45.0,25.0
ACC-0008,0.0,64.286,35.715
ACC-0017,100.0,0.0,0.0
ACC-0020,30.0,45.0,25.0
ACC-0022,0.0,64.286,35.714
ACC-0024,100.0,0.0,0.0
ACC-0028,100.001,0.0,0.0
ACC-0033,60.0,90.0,50.002
ACC-0036,30.0,45.0,24.999
ACC-0037,100.0,0.0,0.0
ACC-0039,30.0,45.001,24.999
ACC-0041,40.0,60.0,0.0
ACC-0043,30.001,45.0,25.0
ACC-0050,40.0,60.0,0.0
ACC-0054,100.0,0.0,0.0
ACC-0057,30.0,45.0,25.0
ACC-0062,39.998999999999995,60.0,0.0
ACC-0063,30.0,45.0,25.0
ACC-0066,40.001,60.0,0.0
ACC-0068,0.0,64.286,35.714
ACC-0075,99.999,0.0,0.0
ACC-0080,40.0,60.0,0.0
ACC-0084,99.999,0.0,0.0
ACC-0087,100.001,0.0,0.0
ACC-0090,40.0,60.0,0.0
ACC-0092,40.0,59.998999999999995,0.0
ACC-0094,40.0,60.001,0.0
ACC-0095,99.999,0.0,0.0
ACC-0097,59.996,90.002,50.001999999999995
ACC-0098,100.0,0.0,0.0
ACC-0099,54.545,0.0,45.454
ACC-0100,40.001999999999995,59.99999999999999,0.0
ACC-0101,40.0,60.0,0.0
ACC-0102,30.0,45.0,25.0
ACC-0103,54.545,0.0,45.455
ACC-0104,30.0,45.0,25.0
ACC-0105,40.0,60.0,0.0
ACC-0106,40.0,60.0,0.0
ACC-0107,30.0,45.0,25.0
ACC-0108,54.545,0.0,45.455
ACC-0109,54.546,0.0,45.455
ACC-0110,99.999,0.0,0.0
ACC-0111,300.0,0.0,0.0
ACC-0112,30.0,45.0,25.0
ACC-0113,40.0,60.0,0.0
ACC-0114,100.0,0.0,0.0
ACC-0115,59.998,90.0,50.0
ACC-0116,29.998,44.998,25.0
ACC-0117,30.0,45.0,25.0
ACC-0118,30.0,45.0,25.0
ACC-0119,40.0,60.0,0.0
ACC-0120,100.001,0.0,0.0
ACC-0121,30.0,45.0,25.0
ACC-0122,30.0,45.0,25.0
ACC-0123,100.0,0.0,0.0
ACC-0124,30.0,45.0,25.001
ACC-0125,40.0,60.001,0.0
ACC-0126,100.0,0.0,0.0
ACC-0127,54.545,0.0,45.454
ACC-0128,40.0,60.0,0.0
ACC-0129,54.546,0.0,45.454
ACC-0130,30.0,45.0,24.999
ACC-0131,30.0,45.0,25.0
ACC-0132,40.0,60.0,0.0
ACC-0133,100.0,0.0,0.0
ACC-0134,54.545,0.0,45.455
ACC-0135,29.999000000000002,45.0,25.0
ACC-0136,40.0,60.0,0.0
ACC-0137,30.0,45.0,25.0
ACC-0138,54.546,0.0,45.454
ACC-0139,99.999,0.0,0.0
ACC-0140,30.0,45.0,25.0
ACC-0141,100.0,0.0,0.0
ACC-0142,30.0,45.0,25.0
ACC-0143,40.0,60.0,0.0
ACC-0144,54.546,0.0,45.454
ACC-0145,40.0,60.0,0.0
ACC-0146,40.0,60.0,0.0
ACC-0147,100.0,0.0,0.0
ACC-0148,100.0,0.0,0.0
ACC-0149,30.0,45.0,25.0
ACC-0150,30.0,45.0,25.0
ACC-0151,40.0,59.998999999999995,0.0
ACC-0152,40.0,60.0,0.0
ACC-0153,54.545,0.0,45.455
ACC-0154,30.0,45.0,25.0
ACC-0155,39.999,60.0,0.0
ACC-0156,54.545,0.0,45.455
ACC-0157,40.001,60.0,0.0
ACC-0158,30.0,45.0,25.0
ACC-0159,54.545,0.0,45.455
ACC-0160,30.0,45.0,25.0
ACC-0161,39.999,60.0,0.0
ACC-0162,54.545,0.0,45.455
ACC-0163,40.0,60.0,0.0
ACC-0164,30.0,45.0,25.0
ACC-0165,30.0,45.0,25.0
ACC-0166,54.545,0.0,45.455
ACC-0167,199.998,0.0,0.0
ACC-0168,30.0,45.0,25.0
ACC-0169,40.0,59.999,0.0
ACC-0170,30.0,45.0,25.0
ACC-0171,54.546,0.0,45.454
ACC-0172,30.0,45.001000000000005,25.0
ACC-0173,40.0,60.0,0.0
ACC-0174,40.0,60.0,0.0
ACC-0175,39.998999999999995,60.0,0.0
