accord_id,n_notes
ACC-0002,7
ACC-0003,7
ACC-0004,10
ACC-0005,6
ACC-0007,7
ACC-0008,7
ACC-0017,6
ACC-0020,7
ACC-0022,7
ACC-0024,5
ACC-0028,6
ACC-0033,26
ACC-0036,8
ACC-0037,6
ACC-0039,7
ACC-0041,6
ACC-0043,8
ACC-0050,6
ACC-0054,6
ACC-0057,7
ACC-0062,7
ACC-0063,8
ACC-0066,7
ACC-0068,7
ACC-0075,6
ACC-0080,6
ACC-0084,6
ACC-0087,6
ACC-0090,6
ACC-0092,6
ACC-0094,12
ACC-0095,10
ACC-0097,56
ACC-0098,1
ACC-0099,11
ACC-0100,12
ACC-0101,14
ACC-0102,6
ACC-0103,6
ACC-0104,7
ACC-0105,6
ACC-0106,6
ACC-0107,6
ACC-0108,6
ACC-0109,6
ACC-0110,6
ACC-0111,51
ACC-0112,6
ACC-0113,12
ACC-0114,12
ACC-0115,38
ACC-0116,14
ACC-0117,12
ACC-0118,6
ACC-0119,6
ACC-0120,6
ACC-0121,6
ACC-0122,6
ACC-0123,6
ACC-0124,6
ACC-0125,6
ACC-0126,6
ACC-0127,6
ACC-0128,6
ACC-0129,6
ACC-0130,6
ACC-0131,6
ACC-0132,6
ACC-0133,6
ACC-0134,6
ACC-0135,6
ACC-0136,6
ACC-0137,6
ACC-0138,6
ACC-0139,6
ACC-0140,6
ACC-0141,6
ACC-0142,6
ACC-0143,6
ACC-0144,6
ACC-0145,6
ACC-0146,6
ACC-0147,6
ACC-0148,6
ACC-0149,6
ACC-0150,6
ACC-0151,6
ACC-0152,6
ACC-0153,6
ACC-0154,6
ACC-0155,6
ACC-0156,6
ACC-0157,6
ACC-0158,6
ACC-0159,6
ACC-0160,6
ACC-0161,6
ACC-0162,6
ACC-0163,6
ACC-0164,6
ACC-0165,6
ACC-0166,6
ACC-0167,24
ACC-0168,6
ACC-0169,6
ACC-0170,6
ACC-0171,6
ACC-0172,6
ACC-0173,6
ACC-0174,6
ACC-0175,6
ACC-0176,6
ACC-0177,6
ACC-0178,6
ACC-0179,6
ACC-0180,6
ACC-0181,6
ACC-0182,6
ACC-0183,6
ACC-0184,6
ACC-0185,6
ACC-0186,6
ACC-0187,6
ACC-0188,6
ACC-0189,6
ACC-0190,6
ACC-0191,6
ACC-0192,6
ACC-0193,6
ACC-0194,6
ACC-0195,6
ACC-0196,6
ACC-0197,6
ACC-0198,6
ACC-0199,6
ACC-0200,6
ACC-0201,6
ACC-0202,6
ACC-0203,6
ACC-0204,6
ACC-0205,6
ACC-0206,6
ACC-0207,6
ACC-0208,6
ACC-0209,6
ACC-0210,6
ACC-0211,6
ACC-0212,6
ACC-0213,6
ACC-0214,6
ACC-0215,6
ACC-0216,6
ACC-0217,6
ACC-0218,6
ACC-0219,6
ACC-0220,6
ACC-0221,6
ACC-0222,6
ACC-0223,6
ACC-0224,6
ACC-0225,6
ACC-0226,6
ACC-0227,6
ACC-0228,12
ACC-0229,12
ACC-0230,12
ACC-0231,12
ACC-0232,12
ACC-0233,12
ACC-0234,1
ACC-0235,4
ACC-0236,5
ACC-0237,5
ACC-0238,5
ACC-0239,5
ACC-0240,5
ACC-0241,5
ACC-0242,5
ACC-0243,7
ACC-0244,6
ACC-0245,6
ACC-0246,7
ACC-0247,6
ACC-0248,6
ACC-0249,6
ACC-0250,6
ACC-0251,6
ACC-0252,6
ACC-0253,6
ACC-0254,6
ACC-0255,7
ACC-0256,6
ACC-0257,6
ACC-0258,7
ACC-0259,6
ACC-0260,7
ACC-0261,6
ACC-0262,6
ACC-0263,6
ACC-0264,6
ACC-0265,6
ACC-0266,6
ACC-0267,6
ACC-0268,6
ACC-0269,6
ACC-0270,6
ACC-0271,6
ACC-0272,6
ACC-0273,6
ACC-0274,6
ACC-0275,5
ACC-0276,5
ACC-0277,5
ACC-0278,5
ACC-0279,5
ACC-0280,5
ACC-0281,5
ACC-0282,5
ACC-0283,5
ACC-0284,5
ACC-0285,5
ACC-0286,5
ACC-0287,5
ACC-0288,5
ACC-0289,5
ACC-0290,5
ACC-0291,5
ACC-0292,5
ACC-0293,5
ACC-0294,7
ACC-0295,7
ACC-0296,6
ACC-0297,6
ACC-0298,5
ACC-0299,7
