accord_id,default_pct_in_accord
ACC-0002,99.998
ACC-0003,100.0
ACC-0004,100.002
ACC-0005,100.0
ACC-0007,100.0
ACC-0008,100.001
ACC-0017,100.0
ACC-0020,100.0
ACC-0022,100.0
ACC-0024,100.0
ACC-0028,100.001
ACC-0033,200.002
ACC-0036,99.999
ACC-0037,100.0
ACC-0039,100.0
ACC-0041,100.0
ACC-0043,100.001
ACC-0050,100.0
ACC-0054,100.0
ACC-0057,100.0
ACC-0062,99.999
ACC-0063,100.0
ACC-0066,100.001
ACC-0068,100.0
ACC-0075,99.999
ACC-0080,100.0
ACC-0084,99.999
ACC-0087,100.001
ACC-0090,100.0
ACC-0092,99.999
ACC-0094,100.001
ACC-0095,99.999
ACC-0097,200.0
ACC-0098,100.0
ACC-0099,99.999
ACC-0100,100.002
ACC-0101,100.0
ACC-0102,100.0
ACC-0103,100.0
ACC-0104,100.0
ACC-0105,100.0
ACC-0106,100.0
ACC-0107,100.0
ACC-0108,100.0
ACC-0109,100.001
ACC-0110,99.999
ACC-0111,300.0
ACC-0112,100.0
ACC-0113,100.0
ACC-0114,100.0
ACC-0115,199.998
ACC-0116,99.996
ACC-0117,100.0
ACC-0118,100.0
ACC-0119,100.0
ACC-0120,100.001
ACC-0121,100.0
ACC-0122,100.0
ACC-0123,100.0
ACC-0124,100.001
ACC-0125,100.001
ACC-0126,100.0
ACC-0127,99.999
ACC-0128,100.0
ACC-0129,100.0
ACC-0130,99.999
ACC-0131,100.0
ACC-0132,100.0
ACC-0133,100.0
ACC-0134,100.0
ACC-0135,99.999
ACC-0136,100.0
ACC-0137,100.0
ACC-0138,100.0
ACC-0139,99.999
ACC-0140,100.0
ACC-0141,100.0
ACC-0142,100.0
ACC-0143,100.0
ACC-0144,100.0
ACC-0145,100.0
ACC-0146,100.0
ACC-0147,100.0
ACC-0148,100.0
ACC-0149,100.0
ACC-0150,100.0
ACC-0151,99.999
ACC-0152,100.0
ACC-0153,100.0
ACC-0154,100.0
ACC-0155,99.999
ACC-0156,100.0
ACC-0157,100.001
ACC-0158,100.0
ACC-0159,100.0
ACC-0160,100.0
ACC-0161,99.999
ACC-0162,100.0
ACC-0163,100.0
ACC-0164,100.0
ACC-0165,100.0
ACC-0166,100.0
ACC-0167,199.998
ACC-0168,100.0
ACC-0169,99.999
ACC-0170,100.0
ACC-0171,100.0
ACC-0172,100.001
ACC-0173,100.0
ACC-0174,100.0
ACC-0175,99.999
ACC-0176,100.001
ACC-0177,100.0
ACC-0178,100.001
ACC-0179,100.0
ACC-0180,100.0
ACC-0181,100.001
ACC-0182,100.0
ACC-0183,100.001
ACC-0184,100.0
ACC-0185,100.0
ACC-0186,100.0
ACC-0187,99.999
ACC-0188,100.0
ACC-0189,100.0
ACC-0190,100.001
ACC-0191,100.0
ACC-0192,100.001
ACC-0193,100.0
ACC-0194,99.999
ACC-0195,99.999
ACC-0196,100.0
ACC-0197,100.0
ACC-0198,100.0
ACC-0199,100.0
ACC-0200,100.001
ACC-0201,100.0
ACC-0202,99.999
ACC-0203,100.0
ACC-0204,100.001
ACC-0205,100.001
ACC-0206,100.0
ACC-0207,100.0
ACC-0208,100.0
ACC-0209,100.0
ACC-0210,100.001
ACC-0211,99.999
ACC-0212,100.0
ACC-0213,99.999
ACC-0214,100.001
ACC-0215,100.0
ACC-0216,100.001
ACC-0217,100.0
ACC-0218,100.002
ACC-0219,99.999
ACC-0220,99.999
ACC-0221,99.999
ACC-0222,100.001
ACC-0223,100.0
ACC-0224,100.001
ACC-0225,100.001
ACC-0226,100.001
ACC-0227,100.0
ACC-0228,100.0
ACC-0229,100.0
ACC-0230,100.0
ACC-0231,99.998
ACC-0232,100.002
ACC-0233,100.0
ACC-0234,100.0
ACC-0235,100.0
ACC-0236,100.0
ACC-0237,100.0
ACC-0238,100.0
ACC-0239,100.0
ACC-0240,100.0
ACC-0241,100.001
ACC-0242,100.0
ACC-0243,99.999
ACC-0244,99.999
ACC-0245,100.0
ACC-0246,99.999
ACC-0247,100.0
ACC-0248,100.002
ACC-0249,99.999
ACC-0250,100.001
ACC-0251,100.0
ACC-0252,100.0
ACC-0253,100.001
ACC-0254,99.999
ACC-0255,100.0
ACC-0256,99.999
ACC-0257,100.0
ACC-0258,100.001
ACC-0259,99.999
ACC-0260,99.999
ACC-0261,99.999
ACC-0262,100.0
ACC-0263,99.999
ACC-0264,100.0
ACC-0265,100.001
ACC-0266,100.0
ACC-0267,100.001
ACC-0268,99.999
ACC-0269,100.0
ACC-0270,100.0
ACC-0271,100.0
ACC-0272,99.999
ACC-0273,99.999
ACC-0274,99.999
ACC-0275,99.999
ACC-0276,100.001
ACC-0277,100.0
ACC-0278,99.999
ACC-0279,100.0
ACC-0280,100.0
ACC-0281,100.0
ACC-0282,100.0
ACC-0283,100.001
ACC-0284,100.0
ACC-0285,100.0
ACC-0286,100.001
ACC-0287,100.0
ACC-0288,100.0
ACC-0289,100.0
ACC-0290,100.0
ACC-0291,100.0
ACC-0292,100.0
ACC-0293,100.0
ACC-0294,100.0
ACC-0295,100.001
ACC-0296,100.001
ACC-0297,100.0
ACC-0298,100.0
ACC-0299,99.999
