note_id,note_name,cas_number_clean
NOTE-0224,Leather Accord,-
NOTE-0462,Patchouli Coeur,-
NOTE-0466,Black Tea Absolute,-
NOTE-0516,Castoreum Replacer,-
NOTE-0607,Oud Synthetic,-
NOTE-0638,Fig Leaf Base,-
NOTE-0689,Ambergris Replacer,-
NOTE-0691,Amberlyn,-
NOTE-0692,Ambermarine Base,-
NOTE-0713,Boisiris,-
NOTE-0734,Civet (Synthetic),-
NOTE-0755,Finger Lime Oil,-
NOTE-0769,Hedione HC,-
NOTE-0787,Kiwi Accord Base,-
NOTE-0802,Mango Lactone,-
NOTE-0822,Oolong Tea Absolute,-
NOTE-0831,Passionfruit Sulfide,-
NOTE-0832,Patchouli Light,-
NOTE-0843,Rice Steam Note,-
NOTE-0844,Roasted Barley,-
NOTE-0878,Violet Leaf Alcohol,-
NOTE-0879,Water Lily Absolute,-
NOTE-0882,Z11 Musk,-
