column,coverage_pct
note_id,100.0
normalized_note_name,100.0
used_via_used_accord,100.0
note_name,100.0
chemical_name,49.49
accords_used_in_json,49.49
volatility_classes_json,49.49
volatility_class,49.49
vapor_pressure,49.49
odor_family,49.49
chemical_family,49.49
key_nuances,49.49
odor_strength,49.38
logP,49.38
odor_threshold_mg_L,49.38
tenacity_max_hrs,49.15
natural_source,49.15
solubility,49.15
flash_point_c,49.15
substantivity_index,49.15
short_description,49.15
tenacity_min_hrs,49.15
tenacity_raw,49.15
cas_number_clean,48.92
boiling_point_c,48.92
molecular_weight,39.07
