accord_id,accord_name,accord_category,in_rule,in_real,status
ACC-0002,Aldehydic,Fresh,True,True,BOTH
ACC-0003,Almond,Gourmand,True,True,BOTH
ACC-0004,Amber,Amber,True,True,BOTH
ACC-0005,Animalic,Animalic,True,True,BOTH
ACC-0007,Aquatic,Fresh,True,True,BOTH
ACC-0008,Aromatic,Aromatic,True,True,BOTH
ACC-0017,Caramel,Gourmand,True,True,BOTH
ACC-0020,Chypre,Mossy,True,True,BOTH
ACC-0022,Citrus,Fresh,True,True,BOTH
ACC-0024,Coconut,Gourmand,True,True,BOTH
ACC-0028,Earthy,Woody,True,True,BOTH
ACC-0033,Fresh Spicy,Fresh Spicy,True,True,BOTH
ACC-0033,Fresh Spicy,Spicy,True,True,BOTH
ACC-0036,Fruity,Fruity,True,True,BOTH
ACC-0037,Gourmand,Gourmand,True,True,BOTH
ACC-0039,Green,Green,True,True,BOTH
ACC-0041,Honey,Gourmand,True,True,BOTH
ACC-0043,Incense,Resinous,True,True,BOTH
ACC-0050,Leather,Leather,True,True,BOTH
ACC-0054,Milky,Gourmand,True,True,BOTH
ACC-0057,Mossy,Mossy,True,True,BOTH
ACC-0062,Oud,Woody,True,True,BOTH
ACC-0063,Ozonic,Fresh,True,True,BOTH
ACC-0066,Powdery,Floral,True,True,BOTH
ACC-0068,Rose,Floral,True,True,BOTH
ACC-0075,Smoky,Woody,True,True,BOTH
ACC-0080,Suede,Leather,True,True,BOTH
ACC-0084,Tobacco,Gourmand,True,True,BOTH
ACC-0087,Vanilla,Gourmand,True,True,BOTH
ACC-0090,Violet,Floral,True,True,BOTH
ACC-0092,Warm Spicy,Spicy,True,True,BOTH
ACC-0094,White Floral,Floral,True,True,BOTH
ACC-0095,Woody,Woody,True,True,BOTH
ACC-0300,Creamy,Uncategorized,False,False,CATALOG_ONLY
ACC-0301,Exotic,Uncategorized,False,False,CATALOG_ONLY
ACC-0302,Medicinal,Uncategorized,False,False,CATALOG_ONLY
ACC-0303,Modern,Uncategorized,False,False,CATALOG_ONLY
ACC-0304,Ozone,Uncategorized,False,False,CATALOG_ONLY
ACC-0305,Resin,Uncategorized,False,False,CATALOG_ONLY
ACC-0306,Romantic,Uncategorized,False,False,CATALOG_ONLY
ACC-0307,Smoke,Uncategorized,False,False,CATALOG_ONLY
ACC-0308,Soft Floral,Uncategorized,False,False,CATALOG_ONLY
ACC-0309,Soft Gourmand,Uncategorized,False,False,CATALOG_ONLY
ACC-0001,Alcohol,Uncategorized,False,True,REAL_ONLY
ACC-0006,Anis,Uncategorized,False,True,REAL_ONLY
ACC-0009,Balsamic,Uncategorized,False,True,REAL_ONLY
ACC-0010,Beeswax,Uncategorized,False,True,REAL_ONLY
ACC-0011,Bergamot,Uncategorized,False,True,REAL_ONLY
ACC-0012,Boozy,Uncategorized,False,True,REAL_ONLY
ACC-0013,Bourbon,Uncategorized,False,True,REAL_ONLY
ACC-0014,Cacao,Uncategorized,False,True,REAL_ONLY
ACC-0015,Camphor,Uncategorized,False,True,REAL_ONLY
ACC-0016,Captivating,Uncategorized,False,True,REAL_ONLY
ACC-0018,Cardamom,Uncategorized,False,True,REAL_ONLY
ACC-0019,Chocolate,Uncategorized,False,True,REAL_ONLY
ACC-0021,Cinnamon,Uncategorized,False,True,REAL_ONLY
ACC-0023,Clean,Uncategorized,False,True,REAL_ONLY
ACC-0025,Coffee,Uncategorized,False,True,REAL_ONLY
ACC-0026,Coniferous,Uncategorized,False,True,REAL_ONLY
ACC-0027,Damp,Uncategorized,False,True,REAL_ONLY
ACC-0029,Fig,Uncategorized,False,True,REAL_ONLY
ACC-0030,Flora,Uncategorized,False,True,REAL_ONLY
ACC-0031,Floral,Uncategorized,False,True,REAL_ONLY
ACC-0032,Fresh,Uncategorized,False,True,REAL_ONLY
ACC-0034,Fresh Sweet,Uncategorized,False,True,REAL_ONLY
ACC-0035,Fruit,Uncategorized,False,True,REAL_ONLY
ACC-0038,Grassy,Uncategorized,False,True,REAL_ONLY
ACC-0040,Herbal,Uncategorized,False,True,REAL_ONLY
ACC-0042,Honeyed,Uncategorized,False,True,REAL_ONLY
ACC-0044,Inky,Uncategorized,False,True,REAL_ONLY
ACC-0045,Intense,Uncategorized,False,True,REAL_ONLY
ACC-0046,Iris,Uncategorized,False,True,REAL_ONLY
ACC-0047,Jasmine,Uncategorized,False,True,REAL_ONLY
ACC-0048,Lactonic,Uncategorized,False,True,REAL_ONLY
ACC-0049,Lavender,Uncategorized,False,True,REAL_ONLY
ACC-0051,Leathery,Uncategorized,False,True,REAL_ONLY
ACC-0052,Marine,Uncategorized,False,True,REAL_ONLY
