note_id,note_name,normalized_note_name,in_rule,in_real,rule_volume,real_volume,status
NOTE-0003,Agarwood (Oud),agarwood_oud,True,True,8,8,BOTH
NOTE-0005,Aldehydes,aldehydes,True,True,5,12,BOTH
NOTE-0012,Amber Accord,amber_accord,True,True,1,1,BOTH
NOTE-0016,Amberwood,amberwood,True,True,1,9,BOTH
NOTE-0021,Ambroxan,ambroxan,True,True,61,16,BOTH
NOTE-0027,Apple,apple,True,True,1,16,BOTH
NOTE-0039,Benzoin,benzoin,True,True,11,35,BOTH
NOTE-0040,Bergamot,bergamot,True,True,9,160,BOTH
NOTE-0046,Birch Tar,birch_tar,True,True,5,2,BOTH
NOTE-0075,Cade Oil,cade_oil,True,True,6,1,BOTH
NOTE-0087,Cashmeran,cashmeran,True,True,14,8,BOTH
NOTE-0094,Cedarwood,cedarwood,True,True,2,13,BOTH
NOTE-0116,Clary Sage,clary_sage,True,True,1,14,BOTH
NOTE-0134,Coumarin,coumarin,True,True,14,3,BOTH
NOTE-0140,Cypriol,cypriol,True,True,1,1,BOTH
NOTE-0155,Eucalyptus,eucalyptus,True,True,1,2,BOTH
NOTE-0166,Freesia,freesia,True,True,1,7,BOTH
NOTE-0169,Galbanum,galbanum,True,True,2,9,BOTH
NOTE-0175,Grapefruit,grapefruit,True,True,1,43,BOTH
NOTE-0180,Green Apple,green_apple,True,True,1,1,BOTH
NOTE-0187,Guaiac Wood,guaiac_wood,True,True,5,12,BOTH
NOTE-0193,Hedione,hedione,True,True,10,1,BOTH
NOTE-0194,Heliotrope,heliotrope,True,True,1,2,BOTH
NOTE-0204,Iris,iris,True,True,1,29,BOTH
NOTE-0205,Iso E Super,iso_e_super,True,True,166,5,BOTH
NOTE-0209,Jasmine,jasmine,True,True,1,80,BOTH
NOTE-0220,Labdanum,labdanum,True,True,1,26,BOTH
NOTE-0222,Lavender,lavender,True,True,2,54,BOTH
NOTE-0225,Lemon,lemon,True,True,2,47,BOTH
NOTE-0233,Lily-of-the-Valley,lily_of_the_valley,True,True,2,22,BOTH
NOTE-0269,Musk,musk,True,True,7,144,BOTH
NOTE-0284,Opoponax,opoponax,True,True,2,8,BOTH
NOTE-0296,Oud Accord,oud_accord,True,True,1,1,BOTH
NOTE-0303,Pear,pear,True,True,2,18,BOTH
NOTE-0306,Peony,peony,True,True,1,9,BOTH
NOTE-0309,Peru Balsam,peru_balsam,True,True,3,4,BOTH
NOTE-0319,Pink Pepper,pink_pepper,True,True,4,37,BOTH
NOTE-0327,Raspberry,raspberry,True,True,1,4,BOTH
NOTE-0338,Rose,rose,True,True,2,73,BOTH
NOTE-0344,Rosemary,rosemary,True,True,1,14,BOTH
NOTE-0349,Saffron,saffron,True,True,11,41,BOTH
NOTE-0354,Sandalwood,sandalwood,True,True,4,113,BOTH
NOTE-0375,Strawberry,strawberry,True,True,1,2,BOTH
NOTE-0395,Tolu Balsam,tolu_balsam,True,True,3,3,BOTH
NOTE-0399,Tonka Bean,tonka_bean,True,True,8,55,BOTH
NOTE-0407,Vanilla,vanilla,True,True,4,105,BOTH
NOTE-0408,Vanilla Absolute,vanilla_absolute,True,True,15,1,BOTH
NOTE-0418,Violet,violet,True,True,1,14,BOTH
NOTE-0420,Violet Leaf,violet_leaf,True,True,1,16,BOTH
NOTE-0434,White Musk,white_musk,True,True,7,19,BOTH
NOTE-0668,Aldehyde C10,aldehyde_c10,False,False,0,0,ORPHAN_CATALOG
NOTE-0669,Aldehyde C11,aldehyde_c11,False,False,0,0,ORPHAN_CATALOG
NOTE-0670,Aldehyde C12 Lauric,aldehyde_c12_lauric,False,False,0,0,ORPHAN_CATALOG
NOTE-0671,Aldehyde C12 MNA,aldehyde_c12_mna,False,False,0,0,ORPHAN_CATALOG
NOTE-0672,Aldehyde C13,aldehyde_c13,False,False,0,0,ORPHAN_CATALOG
NOTE-0673,Aldehyde C14,aldehyde_c14,False,False,0,0,ORPHAN_CATALOG
NOTE-0674,Aldehyde C14 Peach,aldehyde_c14_peach,False,False,0,0,ORPHAN_CATALOG
NOTE-0675,Aldehyde C16 Strawberry,aldehyde_c16_strawberry,False,False,0,0,ORPHAN_CATALOG
NOTE-0676,Aldehyde C18,aldehyde_c18,False,False,0,0,ORPHAN_CATALOG
NOTE-0677,Aldehyde C18 Coconut,aldehyde_c18_coconut,False,False,0,0,ORPHAN_CATALOG
NOTE-0678,Aldehyde C-7,aldehyde_c_7,False,False,0,0,ORPHAN_CATALOG
NOTE-0679,Aldehyde C-8,aldehyde_c_8,False,False,0,0,ORPHAN_CATALOG
NOTE-0680,Aldehyde C-9,aldehyde_c_9,False,False,0,0,ORPHAN_CATALOG
NOTE-0681,Aldehydes (C10),aldehydes_c10,False,False,0,0,ORPHAN_CATALOG
NOTE-0682,Aldehydes (C11),aldehydes_c11,False,False,0,0,ORPHAN_CATALOG
NOTE-0683,Aldehydes (C12 MNA),aldehydes_c12_mna,False,False,0,0,ORPHAN_CATALOG
NOTE-0684,Allspice Oil,allspice_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0685,Allyl Amyl Glycolate,allyl_amyl_glycolate,False,False,0,0,ORPHAN_CATALOG
NOTE-0686,Alpha-Ionone,alpha_ionone,False,False,0,0,ORPHAN_CATALOG
NOTE-0687,Amber Seed,amber_seed,False,False,0,0,ORPHAN_CATALOG
NOTE-0688,Amber Xtreme,amber_xtreme,False,False,0,0,ORPHAN_CATALOG
NOTE-0689,Ambergris Replacer,ambergris_replacer,False,False,0,0,ORPHAN_CATALOG
NOTE-0690,Ambergris Tincture,ambergris_tincture,False,False,0,0,ORPHAN_CATALOG
NOTE-0691,Amberlyn,amberlyn,False,False,0,0,ORPHAN_CATALOG
NOTE-0692,Ambermarine Base,ambermarine_base,False,False,0,0,ORPHAN_CATALOG
NOTE-0693,Ambermax,ambermax,False,False,0,0,ORPHAN_CATALOG
NOTE-0694,Ambrein,ambrein,False,False,0,0,ORPHAN_CATALOG
NOTE-0695,Amyris Oil,amyris_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0696,Anethole,anethole,False,False,0,0,ORPHAN_CATALOG
NOTE-0697,Angelica Root,angelica_root,False,False,0,0,ORPHAN_CATALOG
NOTE-0698,Anisyl Alcohol,anisyl_alcohol,False,False,0,0,ORPHAN_CATALOG
NOTE-0699,Apricot Lactone,apricot_lactone,False,False,0,0,ORPHAN_CATALOG
NOTE-0700,Artemisia Oil,artemisia_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0701,Atlas Cedrol,atlas_cedrol,False,False,0,0,ORPHAN_CATALOG
NOTE-0702,Australian Sandalwood,australian_sandalwood,False,False,0,0,ORPHAN_CATALOG
NOTE-0703,Bay Leaf Oil,bay_leaf_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0704,Bay Oil,bay_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0705,Benzoin Sumatra,benzoin_sumatra,False,False,0,0,ORPHAN_CATALOG
NOTE-0706,Benzyl Benzoate,benzyl_benzoate,False,False,0,0,ORPHAN_CATALOG
NOTE-0707,Bergamot Oil FCF,bergamot_oil_fcf,False,False,0,0,ORPHAN_CATALOG
NOTE-0708,Beta-Ionone,beta_ionone,False,False,0,0,ORPHAN_CATALOG
NOTE-0709,Bitter Orange Oil,bitter_orange_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0710,Blood Orange Oil,blood_orange_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0711,Bois de Rose,bois_de_rose,False,False,0,0,ORPHAN_CATALOG
NOTE-0712,Boisambrene Forte,boisambrene_forte,False,False,0,0,ORPHAN_CATALOG
NOTE-0713,Boisiris,boisiris,False,False,0,0,ORPHAN_CATALOG
NOTE-0714,Bourgeonal,bourgeonal,False,False,0,0,ORPHAN_CATALOG
NOTE-0715,Bulgarian Rose Otto,bulgarian_rose_otto,False,False,0,0,ORPHAN_CATALOG
NOTE-0716,Calamansi Oil,calamansi_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0717,Camphor,camphor,False,False,0,0,ORPHAN_CATALOG
NOTE-0718,Carrot Seed,carrot_seed,False,False,0,0,ORPHAN_CATALOG
NOTE-0719,Cashmeran (High Purity),cashmeran_high_purity,False,False,0,0,ORPHAN_CATALOG
NOTE-0720,Cassis Absolute,cassis_absolute,False,False,0,0,ORPHAN_CATALOG
NOTE-0721,Cedramber,cedramber,False,False,0,0,ORPHAN_CATALOG
NOTE-0722,Champaca Absolute,champaca_absolute,False,False,0,0,ORPHAN_CATALOG
NOTE-0723,Cherry,cherry,False,False,0,0,ORPHAN_CATALOG
NOTE-0724,Cinnamaldehyde,cinnamaldehyde,False,False,0,0,ORPHAN_CATALOG
NOTE-0725,Cis-3-Hexenyl Acetate,cis_3_hexenyl_acetate,False,False,0,0,ORPHAN_CATALOG
NOTE-0726,Cis-3-Hexenyl Butyrate,cis_3_hexenyl_butyrate,False,False,0,0,ORPHAN_CATALOG
NOTE-0727,Cis-Jasmone,cis_jasmone,False,False,0,0,ORPHAN_CATALOG
NOTE-0728,Cistus Oil,cistus_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0729,Citral,citral,False,False,0,0,ORPHAN_CATALOG
NOTE-0730,Citron Oil,citron_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0731,Citronella,citronella,False,False,0,0,ORPHAN_CATALOG
NOTE-0732,Citronellyl Acetate,citronellyl_acetate,False,False,0,0,ORPHAN_CATALOG
NOTE-0733,Civet Absolute,civet_absolute,False,False,0,0,ORPHAN_CATALOG
NOTE-0734,Civet (Synthetic),civet_synthetic,False,False,0,0,ORPHAN_CATALOG
NOTE-0735,Civettone,civettone,False,False,0,0,ORPHAN_CATALOG
NOTE-0736,Clearwood,clearwood,False,False,0,0,ORPHAN_CATALOG
NOTE-0737,Clementine Oil,clementine_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0738,Costus,costus,False,False,0,0,ORPHAN_CATALOG
NOTE-0739,Coumarin (Refined),coumarin_refined,False,False,0,0,ORPHAN_CATALOG
NOTE-0740,Coumarone,coumarone,False,False,0,0,ORPHAN_CATALOG
NOTE-0741,Cyclamen Aldehyde,cyclamen_aldehyde,False,False,0,0,ORPHAN_CATALOG
NOTE-0742,Cyclotene,cyclotene,False,False,0,0,ORPHAN_CATALOG
NOTE-0743,Cypress Oil,cypress_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0744,Cypriol Oil (Nagarmotha),cypriol_oil_nagarmotha,False,False,0,0,ORPHAN_CATALOG
NOTE-0745,Damascenol,damascenol,False,False,0,0,ORPHAN_CATALOG
NOTE-0746,Damask Rose Oil,damask_rose_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0747,Deertongue,deertongue,False,False,0,0,ORPHAN_CATALOG
NOTE-0748,Ebanol,ebanol,False,False,0,0,ORPHAN_CATALOG
NOTE-0749,Elemi Oil,elemi_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0750,Estragole,estragole,False,False,0,0,ORPHAN_CATALOG
NOTE-0751,Eucalyptus Oil,eucalyptus_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0752,Eugenyl Acetate,eugenyl_acetate,False,False,0,0,ORPHAN_CATALOG
NOTE-0753,Fenugreek,fenugreek,False,False,0,0,ORPHAN_CATALOG
NOTE-0754,Fenugreek Absolute,fenugreek_absolute,False,False,0,0,ORPHAN_CATALOG
NOTE-0755,Finger Lime Oil,finger_lime_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0756,Fir Balsam,fir_balsam,False,False,0,0,ORPHAN_CATALOG
NOTE-0757,Fir Balsam Absolute,fir_balsam_absolute,False,False,0,0,ORPHAN_CATALOG
NOTE-0758,Fir Needle Oil,fir_needle_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0759,Fixolide,fixolide,False,False,0,0,ORPHAN_CATALOG
NOTE-0760,Florhydral,florhydral,False,False,0,0,ORPHAN_CATALOG
NOTE-0761,Florol,florol,False,False,0,0,ORPHAN_CATALOG
NOTE-0762,Frangipani Absolute,frangipani_absolute,False,False,0,0,ORPHAN_CATALOG
NOTE-0763,Furaneol,furaneol,False,False,0,0,ORPHAN_CATALOG
NOTE-0764,Galbanol,galbanol,False,False,0,0,ORPHAN_CATALOG
NOTE-0765,Gardenia Absolute,gardenia_absolute,False,False,0,0,ORPHAN_CATALOG
NOTE-0766,Geranyl Acetate,geranyl_acetate,False,False,0,0,ORPHAN_CATALOG
NOTE-0767,Guaiacwood,guaiacwood,False,False,0,0,ORPHAN_CATALOG
NOTE-0768,Hay Lactone,hay_lactone,False,False,0,0,ORPHAN_CATALOG
NOTE-0769,Hedione HC,hedione_hc,False,False,0,0,ORPHAN_CATALOG
NOTE-0770,Heliotrope Absolute,heliotrope_absolute,False,False,0,0,ORPHAN_CATALOG
NOTE-0771,Hinoki,hinoki,False,False,0,0,ORPHAN_CATALOG
NOTE-0772,Hydroxycitronellal,hydroxycitronellal,False,False,0,0,ORPHAN_CATALOG
NOTE-0773,Hyssop Oil,hyssop_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0774,Iris (Orris),iris_orris,False,False,0,0,ORPHAN_CATALOG
NOTE-0775,Irone Alpha,irone_alpha,False,False,0,0,ORPHAN_CATALOG
NOTE-0776,Irone Beta,irone_beta,False,False,0,0,ORPHAN_CATALOG
NOTE-0777,Iso E Super Plus,iso_e_super_plus,False,False,0,0,ORPHAN_CATALOG
NOTE-0778,Isoamyl Acetate,isoamyl_acetate,False,False,0,0,ORPHAN_CATALOG
NOTE-0779,Isoeugenol,isoeugenol,False,False,0,0,ORPHAN_CATALOG
NOTE-0780,Isopropyl Cresol,isopropyl_cresol,False,False,0,0,ORPHAN_CATALOG
NOTE-0781,Jasmine Lactone,jasmine_lactone,False,False,0,0,ORPHAN_CATALOG
NOTE-0782,Java Vetiver,java_vetiver,False,False,0,0,ORPHAN_CATALOG
NOTE-0783,Juniper Berry,juniper_berry,False,False,0,0,ORPHAN_CATALOG
NOTE-0784,Juniper Berry Oil,juniper_berry_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0785,Juniper Tar,juniper_tar,False,False,0,0,ORPHAN_CATALOG
NOTE-0786,Kaffir Lime Leaf Oil,kaffir_lime_leaf_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0787,Kiwi Accord Base,kiwi_accord_base,False,False,0,0,ORPHAN_CATALOG
NOTE-0788,Labdanum Resin,labdanum_resin,False,False,0,0,ORPHAN_CATALOG
NOTE-0789,Lactonic Aldehyde,lactonic_aldehyde,False,False,0,0,ORPHAN_CATALOG
NOTE-0790,Lemon Oil Expressed,lemon_oil_expressed,False,False,0,0,ORPHAN_CATALOG
NOTE-0791,Lemongrass,lemongrass,False,False,0,0,ORPHAN_CATALOG
NOTE-0792,Lemongrass Oil,lemongrass_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0793,Lilial,lilial,False,False,0,0,ORPHAN_CATALOG
NOTE-0794,Lilial (Butylphenyl Methylpropional),lilial_butylphenyl_methylpropional,False,False,0,0,ORPHAN_CATALOG
NOTE-0795,Lime Oil,lime_oil,False,False,0,0,ORPHAN_CATALOG
NOTE-0796,Lime Oil Distilled,lime_oil_distilled,False,False,0,0,ORPHAN_CATALOG
