note_id,note_name,normalized_note_name,chemical_family,odor_family
NOTE-0001,African Geranium,african_geranium,,
NOTE-0002,African Orange Flower,african_orange_flower,,
NOTE-0004,Akigalawood,akigalawood,,
NOTE-0006,Almond,almond,Aromatic Aldehyde,Nutty / Sweet
NOTE-0007,Almond Blossom,almond_blossom,,
NOTE-0008,Almond Milk,almond_milk,,
NOTE-0009,Amalfi Lemon,amalfi_lemon,,
NOTE-0010,Amalfi Lemon Mandarin Orange,amalfi_lemon_mandarin_orange,,
NOTE-0011,Amber,amber,,
NOTE-0013,Amber‑like Woods,amber_like_woods,,
NOTE-0014,Amber Notes,amber_notes,,
NOTE-0015,Ambergris,ambergris,Triterpene,Amber / Marine
NOTE-0017,Ambrette,ambrette,,
NOTE-0018,Ambrette (Musk Mallow),ambrette_musk_mallow,,
NOTE-0019,Ambrette Seed,ambrette_seed,,
NOTE-0020,Ambrox,ambrox,,
NOTE-0022,Amyl Salicylate,amyl_salicylate,,
NOTE-0023,Amyris,amyris,Sesquiterpene Alcohol,Woody / Sweet
NOTE-0024,Angelica,angelica,,
NOTE-0025,Animal notes,animal_notes,,
NOTE-0026,Anise,anise,,
NOTE-0028,Apricot,apricot,,
NOTE-0029,Aromatic Citrus,aromatic_citrus,,
NOTE-0030,Aromatic Herbs,aromatic_herbs,,
NOTE-0031,Aromatic Spices,aromatic_spices,,
NOTE-0032,Artemisia,artemisia,,
NOTE-0033,Balsamic Resins,balsamic_resins,,
NOTE-0034,Balsamic Woods,balsamic_woods,,
NOTE-0035,Banana,banana,,
NOTE-0036,Basil,basil,Phenylpropanoid,Green / Aromatic
NOTE-0037,Bay Leaf,bay_leaf,,
NOTE-0038,Beeswax,beeswax,Ester,Waxy / Honey
NOTE-0041,Berries,berries,,
NOTE-0042,Bigarade (Bitter Orange),bigarade_bitter_orange,,
NOTE-0043,Birch,birch,,
NOTE-0044,Birch Leaf,birch_leaf,,
NOTE-0045,Birch Leaves,birch_leaves,,
NOTE-0047,Bitter Almond,bitter_almond,,
NOTE-0048,Bitter Orange,bitter_orange,,
NOTE-0049,Black Amber,black_amber,,
NOTE-0050,Black Currant,black_currant,,
NOTE-0051,Black Ink,black_ink,,
NOTE-0052,Black Licorice,black_licorice,,
NOTE-0053,Black Pepper,black_pepper,Alkaloid / Terpene,Spicy / Woody
NOTE-0054,Black Tea,black_tea,,
NOTE-0055,Black Vanilla Husk,black_vanilla_husk,,
NOTE-0056,Blackberry,blackberry,,
NOTE-0057,Blackcurrant,blackcurrant,,
NOTE-0058,Blood Grapefruit,blood_grapefruit,,
NOTE-0059,Blood Mandarin,blood_mandarin,,
NOTE-0060,Blood Orange,blood_orange,,
NOTE-0061,Blue Ginger,blue_ginger,,
NOTE-0062,Blue Lotus,blue_lotus,,
NOTE-0063,Blue Sage,blue_sage,,
NOTE-0064,Bourbon Geranium,bourbon_geranium,,
NOTE-0065,Bourbon Vanilla,bourbon_vanilla,,
NOTE-0066,Bourbon Vetiver,bourbon_vetiver,,
NOTE-0067,Bourbon Whiskey,bourbon_whiskey,,
NOTE-0068,Brazilian Rosewood,brazilian_rosewood,,
NOTE-0069,Brown sugar,brown_sugar,,
NOTE-0070,Bulgarian Rose,bulgarian_rose,,
NOTE-0071,Bulrush,bulrush,,
NOTE-0072,Burnt Match,burnt_match,,
NOTE-0073,Cacao,cacao,,
NOTE-0074,Cacao Pod,cacao_pod,,
NOTE-0076,Calabrian Bergamot,calabrian_bergamot,,
NOTE-0077,Calamansi,calamansi,,
NOTE-0078,Cappuccino,cappuccino,,
NOTE-0079,Caramel,caramel,,
NOTE-0080,Caraway,caraway,,
NOTE-0081,Cardamom,cardamom,Terpenoid Oxide,Spicy / Aromatic
NOTE-0082,Cardamon,cardamon,,
NOTE-0083,Carnation,carnation,,
NOTE-0084,Carrot,carrot,,
NOTE-0085,Carrot Seeds,carrot_seeds,,
NOTE-0086,Cascarilla,cascarilla,,
NOTE-0088,Cashmere Wood,cashmere_wood,,
NOTE-0089,Cassis,cassis,,
NOTE-0090,Castoreum,castoreum,Animalic Extract,Animalic / Leathery
NOTE-0091,Cedar,cedar,,
NOTE-0092,Cedar Leaf,cedar_leaf,,
NOTE-0093,Cedar Shavings,cedar_shavings,,
NOTE-0095,Celery Seeds,celery_seeds,,
NOTE-0096,Ceylon Cinnamon,ceylon_cinnamon,,
NOTE-0097,Chamomile,chamomile,,
NOTE-0098,Champagne,champagne,,
NOTE-0099,Chestnut,chestnut,,
NOTE-0100,Chilli,chilli,,
NOTE-0101,Chilli Accord,chilli_accord,,
NOTE-0102,Chinotto,chinotto,,
NOTE-0103,Chocolate,chocolate,,
NOTE-0104,Cinnamon,cinnamon,Aromatic Aldehyde,Spicy
NOTE-0105,Cinnamon Leaf,cinnamon_leaf,,
NOTE-0106,Cistus,cistus,,
NOTE-0107,Cistus Labdanum,cistus_labdanum,,
NOTE-0108,Citron,citron,,
NOTE-0109,Citrus,citrus,,
NOTE-0110,Citrus Notes,citrus_notes,,
NOTE-0111,Citrus Nuances,citrus_nuances,,
NOTE-0112,Citruses,citruses,,
NOTE-0113,citruses with sugar,citruses_with_sugar,,
NOTE-0114,Citrusy Sparkles,citrusy_sparkles,,
NOTE-0115,Civet,civet,,
NOTE-0117,Clean Musk,clean_musk,,
NOTE-0118,Clementine,clementine,,
NOTE-0119,Clove,clove,Phenylpropanoid,Spicy
NOTE-0120,Clover,clover,,
NOTE-0121,Cloves,cloves,,
NOTE-0122,Coal,coal,,
NOTE-0123,Cocoa,cocoa,Aromatic Extract,Gourmand
NOTE-0124,Coconut,coconut,Lactone,Gourmand / Creamy
NOTE-0125,Coconut Blossom,coconut_blossom,,
NOTE-0126,Coconut Milk,coconut_milk,,
NOTE-0127,Coffee,coffee,Aromatic Extract,Gourmand / Roasted
NOTE-0128,Cognac,cognac,,
NOTE-0129,Cool Mint,cool_mint,,
NOTE-0130,Coriander,coriander,Terpenoid Alcohol,Spicy / Citrus
NOTE-0131,Coriander Leaf,coriander_leaf,,
NOTE-0132,Cotton Candy,cotton_candy,,
NOTE-0133,Cotton Flower,cotton_flower,,
NOTE-0135,Cranberry,cranberry,,
NOTE-0136,Cucumber,cucumber,,
NOTE-0137,Cumin,cumin,,
NOTE-0138,Cyclamen,cyclamen,,
NOTE-0139,Cypress,cypress,,
NOTE-0141,Cypriol Oil or Nagarmotha,cypriol_oil_or_nagarmotha,,
NOTE-0142,Damask Rose,damask_rose,,
NOTE-0143,Darjeeling Tea,darjeeling_tea,,
NOTE-0144,Dark Berries,dark_berries,,
NOTE-0145,Dates,dates,,
NOTE-0146,Dried Fruits,dried_fruits,,
NOTE-0147,Dried Plum,dried_plum,,
