note_id,note_name,normalized_note_name,chemical_family,odor_family
NOTE-0447,Lavender Absolute,lavender_absolute,Terpenoid,Floral / Herbal
NOTE-0448,Lavandin Oil,lavandin_oil,Floral Oil,Aromatic / Fresh
NOTE-0449,Bergamot Oil,bergamot_oil,Terpenoid Ester,Citrus / Fresh
NOTE-0450,Geranium Oil,geranium_oil,,
NOTE-0451,Clary Sage Oil,clary_sage_oil,Terpenoid,Aromatic / Herbal
NOTE-0452,Oakmoss Absolute,oakmoss_absolute,Lichen Extract,Mossy / Woody
NOTE-0453,Vetiver Haiti,vetiver_haiti,Sesquiterpene Alcohol,Woody / Rooty
NOTE-0454,Cedarwood Atlas,cedarwood_atlas,Sesquiterpene Alcohol,Woody / Dry
NOTE-0455,Labdanum Absolute,labdanum_absolute,Resin,Amber / Resinous
NOTE-0456,Vanillin,vanillin,Aromatic Aldehyde,Sweet / Vanilla
NOTE-0457,Benzoin Siam,benzoin_siam,Resin,Sweet / Balsamic
NOTE-0458,Patchouli Alcohol,patchouli_alcohol,Sesquiterpene,Woody / Earthy
NOTE-0459,Cedarwood Virginia,cedarwood_virginia,Sesquiterpene Alcohol,Woody / Sweet
NOTE-0460,Vetiveryl Acetate,vetiveryl_acetate,Ester,Woody / Soft
NOTE-0461,Sandalore,sandalore,Terpene Alcohol,Woody / Creamy
NOTE-0462,Patchouli Coeur,patchouli_coeur,Terpene Fraction,Woody / Clean
NOTE-0463,Evernyl,evernyl,Aromatic Ether,Mossy / Woody
NOTE-0464,Aldehyde C-12 MNA,aldehyde_c_12_mna,Aldehyde,Aldehydic / Soapy
NOTE-0465,Musk Ketone,musk_ketone,Nitro Musk,Musky / Sweet
NOTE-0466,Black Tea Absolute,black_tea_absolute,Polyphenolic,Smoky / Dry
NOTE-0467,Mate Absolute,mate_absolute,Alkaloid Extract,Green / Smoky
NOTE-0468,Hay Absolute,hay_absolute,Aromatic Extract,Dry / Sweet
NOTE-0469,Frankincense CO₂,frankincense_co2,Resin Extract,Resinous / Citrus
NOTE-0470,Myrrh Absolute,myrrh_absolute,,
NOTE-0471,Birch Tar Rectified,birch_tar_rectified,Phenolic,Smoky / Leather
NOTE-0472,Guaiac Wood Oil,guaiac_wood_oil,Sesquiterpene Alcohol,Woody / Smoky
NOTE-0473,Ambergris Accord,ambergris_accord,,
NOTE-0474,Aldehyde C-11,aldehyde_c_11,Aldehyde,Aldehydic / Green
NOTE-0475,Seaweed Absolute,seaweed_absolute,Marine Extract,Marine / Salty
NOTE-0476,Habanolide,habanolide,Macrocyclic Musk,Musky / Metallic
NOTE-0477,Galbanum Resin,galbanum_resin,Resin,Green / Bitter
NOTE-0478,Elemi Resin,elemi_resin,Resin,Resinous / Fresh
NOTE-0479,Lentisque Absolute,lentisque_absolute,,
NOTE-0480,Violet Leaf Absolute,violet_leaf_absolute,Aromatic Extract,Green / Floral
NOTE-0481,Orris Concrete,orris_concrete,,
NOTE-0482,Rice Powder Accord,rice_powder_accord,,
NOTE-0483,Mimosa Absolute,mimosa_absolute,Aromatic Extract,Floral / Powdery
NOTE-0484,Heliotropin,heliotropin,Aromatic Aldehyde,Powdery / Sweet
NOTE-0485,IsoButyl Quinoline,isobutyl_quinoline,Nitrogen Heterocycle,Leather / Bitter
NOTE-0486,Geosmin Trace,geosmin_trace,,
NOTE-0487,Cardamom CO₂,cardamom_co2,,
NOTE-0488,Pink Pepper CO₂,pink_pepper_co2,,
NOTE-0489,Aldehyde C-10,aldehyde_c_10,Aliphatic Aldehyde,Aldehydic / Citrus
NOTE-0490,Lemon Oil,lemon_oil,Monoterpene,Citrus / Sharp
NOTE-0491,Petitgrain Oil,petitgrain_oil,Terpenoid,Citrus / Green
NOTE-0492,Jasmine Absolute,jasmine_absolute,Aromatic Ester,White Floral
NOTE-0493,Orange Blossom Absolute,orange_blossom_absolute,Aromatic Extract,Floral / Citrus
NOTE-0494,Ylang-Ylang Extra,ylang_ylang_extra,Terpenoid,Floral / Sweet
NOTE-0495,Ethyl Maltol,ethyl_maltol,Lactone,Sweet / Caramel
NOTE-0496,Tonka Bean Absolute,tonka_bean_absolute,Lactone,Sweet / Powdery
NOTE-0497,Calone,calone,Ketone,Marine / Ozonic
NOTE-0498,Dihydromyrcenol,dihydromyrcenol,Terpenoid Alcohol,Fresh / Citrus
NOTE-0499,Lavender Oil,lavender_oil,Terpenoid Alcohol,Aromatic / Floral
NOTE-0500,Phenyl Ethyl Alcohol,phenyl_ethyl_alcohol,,
NOTE-0501,Rose Absolute,rose_absolute,Aromatic Extract,Floral / Rosy
NOTE-0502,Geraniol,geraniol,Terpenoid Alcohol,Floral / Sweet
NOTE-0503,Citronellol,citronellol,Terpenoid Alcohol,Floral / Fresh
NOTE-0504,Damascenone,damascenone,Ketone,Fruity / Floral
NOTE-0505,Galaxolide,galaxolide,Polycyclic Musk,Musky / Clean
NOTE-0506,Helvetolide,helvetolide,Macrocyclic Ester,Musky / Fruity
NOTE-0507,Ambrettolide,ambrettolide,Macrocyclic Lactone,Musky / Sweet
