request_id,perfume_id,primary_accord,secondary_accord,primary_in_ref,any_in_ref,ref_accord_count
REQ-00001,P000174,ACC-0118,,False,False,6
REQ-00005,P000182,ACC-0195,ACC-0170,False,False,5
REQ-00006,P000031,ACC-0170,ACC-0156,False,False,5
REQ-00008,P000168,ACC-0244,ACC-0233,False,False,10
REQ-00009,P000027,ACC-0170,,False,False,7
REQ-00012,P000103,ACC-0141,,False,False,5
REQ-00013,P000312,ACC-0167,,False,False,5
REQ-00014,P000336,ACC-0181,,False,False,4
REQ-00015,P000198,ACC-0209,ACC-0007,False,False,4
REQ-00017,P000109,ACC-0118,ACC-0293,False,False,10
REQ-00018,P000247,ACC-0214,,False,False,4
REQ-00019,P000308,ACC-0166,,False,False,4
REQ-00020,P000268,ACC-0243,,False,False,4
REQ-00021,P000348,ACC-0199,,False,False,4
REQ-00025,P000201,ACC-0233,,False,False,4
REQ-00029,P000276,ACC-0114,,False,False,4
REQ-00030,P000237,ACC-0185,,False,False,5
REQ-00032,P000376,ACC-0184,,False,False,4
REQ-00033,P000322,ACC-0114,,False,False,4
REQ-00037,P000020,ACC-0170,,False,False,5
REQ-00038,P000233,ACC-0051,,False,False,5
REQ-00040,P000006,ACC-0181,,False,False,10
REQ-00041,P000238,ACC-0212,,False,False,5
REQ-00043,P000263,ACC-0112,,False,False,4
REQ-00045,P000236,ACC-0145,,False,False,5
REQ-00046,P000026,ACC-0132,ACC-0127,False,False,4
REQ-00048,P000178,ACC-0127,,False,False,5
REQ-00051,P000427,ACC-0112,,False,False,4
REQ-00053,P000057,ACC-0121,,False,False,9
REQ-00054,P000291,ACC-0249,ACC-0236,False,False,5
REQ-00057,P000385,ACC-0167,ACC-0063,False,False,4
REQ-00061,P000197,ACC-0167,ACC-0213,False,False,4
REQ-00062,P000144,ACC-0200,,False,False,6
REQ-00063,P000317,ACC-0280,ACC-0285,False,False,4
REQ-00067,P000301,ACC-0209,,False,False,5
REQ-00069,P000195,ACC-0187,ACC-0251,False,False,4
REQ-00070,P000432,ACC-0205,,False,False,4
REQ-00071,P000157,ACC-0293,,False,False,10
REQ-00073,P000147,ACC-0131,,False,False,7
REQ-00074,P000427,ACC-0063,,False,False,4
REQ-00075,P000090,ACC-0055,,False,False,10
REQ-00077,P000103,ACC-0281,,False,False,5
REQ-00079,P000127,ACC-0292,ACC-0277,False,False,10
REQ-00080,P000380,ACC-0131,,False,False,4
REQ-00084,P000450,ACC-0289,ACC-0127,False,False,4
