descriptor,primary_accord_name,n
amber,Modern Amberwood,48
amber,Woody Amber,43
amber,Sweet Amber Vanilla,40
aquatic,Aquatic Fresh,208
aquatic,Salty Marine,192
aquatic,Aquatic,185
citrus,Herbal Cologne,66
citrus,Clean Smoke Citrus,62
citrus,Fresh Spiced Citrus,61
clean,Salty Marine,44
clean,Aquatic Fresh,35
clean,Aquatic,34
dark,Sweet Amber Vanilla,22
dark,Salty Marine,21
dark,Aquatic Fresh,19
floral,Bright Neroli,36
floral,Floral Cardamom,34
floral,Aquatic Fresh,32
fresh,Aquatic Fresh,39
fresh,Aquatic,33
fresh,Ozonic Fresh,32
green,Fresh Green Apple,84
green,Green Vegetal,80
green,Bitter Sap,75
leather,Sweet Saffron,47
leather,Smoked Tea Leather,41
leather,Animalic Leather,40
mineral,Saline Mineral,120
mineral,Wet Stone,118
mineral,Mineral Ozone,115
musky,Powdery Musk,47
musky,Clean Musk,40
musky,Animalic Musk,37
ozonic,Aquatic Fresh,178
ozonic,Ozonic Fresh,149
ozonic,Salty Marine,143
powdery,Powdery Musk,79
powdery,Powdery Accord (Cosmetic),68
powdery,Creamy Iris,67
smoky,Dark Oud Smoke,58
smoky,Vetiver Smoky,55
smoky,Resinous Balsamic Smoke,53
spicy,Aquatic Fresh,36
spicy,Sweet Saffron,29
spicy,Dry Spice Woods,27
sweet,Sweet Amber Vanilla,46
sweet,Sweet Tobacco,45
sweet,Sweet,44
woody,Oudh Accord (Clean),42
woody,Patchouli Dark,41
woody,Woody,41
