descriptor,Bridge,Fresh,Mineral,Uncategorized,Fresh Aquatic,Floral,Woody,Marine,Leather,Amber,Powdery,Fresh Spicy,Aromatic,Green,Laundry/Clean
amber,260,48,24,24,27,20,21,21,18,223,20,18,13,13,9
aquatic,45,217,31,27,208,24,21,192,26,24,17,10,14,13,11
citrus,158,96,36,23,29,23,26,24,18,17,12,58,16,7,6
clean,94,116,34,42,35,31,25,44,21,23,14,54,98,13,58
dark,67,50,32,16,19,35,42,21,86,76,12,16,13,7,11
floral,72,49,33,73,32,231,28,13,23,21,33,11,12,13,16
fresh,68,129,30,62,39,28,19,30,22,20,17,58,102,12,53
green,57,37,22,25,21,22,19,28,15,20,11,9,4,178,6
leather,94,36,29,44,22,30,28,20,255,18,13,10,9,20,13
mineral,50,51,461,134,21,21,25,23,17,18,14,15,3,10,14
musky,145,42,22,87,24,63,21,24,24,52,14,12,10,7,92
ozonic,54,310,26,29,178,32,20,143,23,20,17,16,14,8,11
powdery,34,40,27,20,25,145,23,16,17,11,250,9,12,18,9
smoky,80,36,38,25,22,28,110,21,23,17,17,11,13,15,16
spicy,53,41,17,60,36,22,33,19,37,16,25,70,9,10,12
sweet,171,40,26,99,29,22,27,21,27,18,15,14,15,9,12
woody,91,37,24,33,33,23,283,22,26,44,20,6,12,14,9
