occasion_tag,Bridge,Fresh,Mineral,Uncategorized,Floral,Fresh Aquatic,Woody,Marine,Leather,Amber,Powdery,Fresh Spicy,Aromatic,Laundry/Clean,Green
casual,71,76,51,42,34,42,37,29,29,31,26,16,18,23,16
date_night,75,69,57,50,40,45,38,38,31,35,38,25,19,18,17
everyday,81,63,42,34,43,29,37,33,31,31,24,17,17,23,19
formal,80,79,46,50,43,43,33,46,34,32,35,18,29,13,21
gym,79,71,43,36,35,40,42,33,35,33,23,21,19,15,19
night_out,66,70,39,35,37,42,37,40,31,29,20,15,9,18,17
office,81,66,50,42,38,35,50,31,41,29,24,12,11,14,13
summer_day,74,61,42,44,46,41,38,28,36,32,28,17,23,21,19
wedding,92,69,46,43,45,35,43,37,35,39,25,31,27,17,19
winter_evening,81,73,45,44,38,43,39,36,36,32,29,25,15,21,18
