target_accord_id_primary,target_accord_id_secondary,n
ACC-0107,ACC-0112,6
ACC-0131,ACC-0112,6
ACC-0275,ACC-0112,6
ACC-0163,ACC-0112,6
ACC-0170,ACC-0144,6
ACC-0170,ACC-0118,4
ACC-0112,ACC-0127,4
ACC-0144,ACC-0212,4
ACC-0170,ACC-0222,4
ACC-0170,ACC-0283,4
ACC-0112,ACC-0055,4
ACC-0112,ACC-0063,4
ACC-0063,ACC-0161,4
ACC-0170,ACC-0112,4
ACC-0144,ACC-0112,4
ACC-0170,ACC-0130,4
ACC-0112,ACC-0280,4
ACC-0118,ACC-0007,4
ACC-0112,ACC-0130,4
ACC-0063,ACC-0144,3
ACC-0170,ACC-0295,3
ACC-0285,ACC-0170,3
ACC-0250,ACC-0170,3
ACC-0109,ACC-0112,3
ACC-0282,ACC-0166,3
ACC-0109,ACC-0170,3
ACC-0112,ACC-0156,3
ACC-0249,ACC-0007,3
ACC-0166,ACC-0288,3
ACC-0184,ACC-0144,3
ACC-0112,ACC-0150,3
ACC-0130,ACC-0144,3
ACC-0287,ACC-0109,3
ACC-0171,ACC-0167,3
ACC-0118,ACC-0248,3
ACC-0181,ACC-0170,3
ACC-0063,ACC-0204,3
ACC-0295,ACC-0112,3
ACC-0063,ACC-0170,3
ACC-0288,ACC-0055,3
ACC-0007,ACC-0170,3
ACC-0111,ACC-0170,3
ACC-0102,ACC-0066,3
ACC-0144,ACC-0118,3
ACC-0170,ACC-0066,3
ACC-0222,ACC-0157,3
ACC-0102,ACC-0157,3
ACC-0252,ACC-0170,3
ACC-0007,ACC-0112,3
ACC-0007,ACC-0063,3
ACC-0170,ACC-0007,3
ACC-0102,ACC-0282,2
ACC-0195,ACC-0170,2
ACC-0063,ACC-0118,2
ACC-0102,ACC-0213,2
ACC-0112,ACC-0131,2
ACC-0112,ACC-0132,2
ACC-0112,ACC-0147,2
ACC-0063,ACC-0055,2
ACC-0207,ACC-0149,2
ACC-0159,ACC-0007,2
ACC-0180,ACC-0194,2
ACC-0158,ACC-0170,2
ACC-0282,ACC-0080,2
ACC-0104,ACC-0252,2
ACC-0180,ACC-0172,2
ACC-0200,ACC-0039,2
ACC-0063,ACC-0130,2
ACC-0063,ACC-0127,2
ACC-0195,ACC-0202,2
ACC-0112,ACC-0107,2
ACC-0281,ACC-0107,2
ACC-0112,ACC-0111,2
ACC-0112,ACC-0118,2
ACC-0063,ACC-0202,2
ACC-0063,ACC-0200,2
ACC-0281,ACC-0135,2
ACC-0281,ACC-0161,2
ACC-0144,ACC-0107,2
ACC-0112,ACC-0125,2
ACC-0194,ACC-0140,2
ACC-0281,ACC-0181,2
ACC-0158,ACC-0106,2
ACC-0144,ACC-0066,2
ACC-0102,ACC-0174,2
ACC-0062,ACC-0288,2
ACC-0142,ACC-0170,2
ACC-0112,ACC-0151,2
ACC-0161,ACC-0157,2
ACC-0161,ACC-0112,2
ACC-0283,ACC-0246,2
ACC-0161,ACC-0116,2
ACC-0207,ACC-0293,2
ACC-0244,ACC-0112,2
ACC-0209,ACC-0007,2
ACC-0131,ACC-0134,2
ACC-0055,ACC-0170,2
ACC-0283,ACC-0170,2
ACC-0243,ACC-0112,2
ACC-0104,ACC-0138,2
ACC-0104,ACC-0140,2
ACC-0142,ACC-0112,2
ACC-0112,ACC-0281,2
ACC-0112,ACC-0283,2
ACC-0131,ACC-0107,2
ACC-0112,ACC-0209,2
ACC-0207,ACC-0281,2
ACC-0181,ACC-0254,2
ACC-0112,ACC-0171,2
ACC-0180,ACC-0150,2
ACC-0104,ACC-0112,2
ACC-0159,ACC-0170,2
ACC-0142,ACC-0155,2
ACC-0112,ACC-0161,2
ACC-0062,ACC-0075,2
ACC-0131,ACC-0275,2
ACC-0131,ACC-0200,2
ACC-0283,ACC-0156,2
ACC-0179,ACC-0194,2
ACC-0179,ACC-0181,2
ACC-0112,ACC-0191,2
ACC-0179,ACC-0161,2
ACC-0179,ACC-0112,2
ACC-0283,ACC-0148,2
ACC-0244,ACC-0209,2
ACC-0246,ACC-0283,2
ACC-0112,ACC-0075,2
ACC-0066,ACC-0007,2
ACC-0082,ACC-0125,2
ACC-0148,ACC-0290,2
ACC-0134,ACC-0286,2
ACC-0193,ACC-0112,2
ACC-0185,ACC-0281,2
ACC-0134,ACC-0206,2
ACC-0275,ACC-0181,2
ACC-0185,ACC-0170,2
ACC-0275,ACC-0212,2
ACC-0107,ACC-0277,2
ACC-0105,ACC-0275,2
ACC-0185,ACC-0134,2
ACC-0109,ACC-0172,2
ACC-0249,ACC-0112,2
ACC-0144,ACC-0177,2
ACC-0134,ACC-0147,2
ACC-0152,ACC-0118,2
ACC-0148,ACC-0283,2
ACC-0107,ACC-0236,2
ACC-0079,ACC-0170,2
ACC-0190,ACC-0249,2
ACC-0140,ACC-0158,2
ACC-0200,ACC-0145,2
ACC-0145,ACC-0170,2
ACC-0200,ACC-0170,2
ACC-0097,ACC-0295,2
ACC-0107,ACC-0007,2
ACC-0107,ACC-0033,2
ACC-0138,ACC-0246,2
ACC-0107,ACC-0183,2
ACC-0250,ACC-0251,2
ACC-0264,ACC-0280,2
ACC-0252,ACC-0172,2
ACC-0138,ACC-0140,2
ACC-0190,ACC-0007,2
ACC-0148,ACC-0131,2
ACC-0107,ACC-0170,2
ACC-0109,ACC-0282,2
ACC-0184,ACC-0170,2
ACC-0157,ACC-0063,2
ACC-0112,ACC-0034,2
ACC-0155,ACC-0285,2
ACC-0206,ACC-0210,2
ACC-0111,ACC-0293,2
ACC-0112,ACC-0022,2
ACC-0182,ACC-0170,2
ACC-0066,ACC-0178,2
ACC-0066,ACC-0170,2
ACC-0247,ACC-0156,2
ACC-0206,ACC-0170,2
ACC-0144,ACC-0170,2
ACC-0194,ACC-0004,2
ACC-0258,ACC-0131,2
ACC-0194,ACC-0022,2
ACC-0066,ACC-0111,2
ACC-0066,ACC-0097,2
ACC-0106,ACC-0170,2
ACC-0133,ACC-0112,2
ACC-0075,ACC-0039,2
ACC-0134,ACC-0112,2
ACC-0134,ACC-0007,2
ACC-0248,ACC-0170,2
ACC-0077,ACC-0063,2
ACC-0253,ACC-0063,2
ACC-0111,ACC-0102,2
ACC-0248,ACC-0166,2
ACC-0102,ACC-0111,2
ACC-0102,ACC-0112,2
ACC-0206,ACC-0082,2
ACC-0155,ACC-0161,2
ACC-0248,ACC-0155,2
ACC-0075,ACC-0227,2
ACC-0075,ACC-0205,2
ACC-0206,ACC-0118,2
ACC-0206,ACC-0159,2
ACC-0112,ACC-0290,2
ACC-0248,ACC-0107,2
ACC-0112,ACC-0287,2
ACC-0112,ACC-0155,2
ACC-0118,ACC-0172,2
ACC-0170,ACC-0293,2
ACC-0118,ACC-0156,2
ACC-0007,ACC-0111,2
ACC-0118,ACC-0122,2
ACC-0172,ACC-0121,2
ACC-0130,ACC-0007,2
ACC-0118,ACC-0112,2
ACC-0171,ACC-0039,2
ACC-0172,ACC-0280,2
ACC-0170,ACC-0200,2
ACC-0210,ACC-0193,2
ACC-0287,ACC-0169,2
