primary,secondary,n
Wet Stone,Aquatic Fresh,6
Fresh Green Apple,Aquatic Fresh,6
Oudh Accord (Clean),Aquatic Fresh,6
Oriental Amber Spice,Aquatic Fresh,6
Salty Marine,Metallic Mineral,6
Salty Marine,Ozonic Fresh,4
Aquatic Fresh,Fizzy Citrus,4
Metallic Mineral,Clean Woody Musk,4
Salty Marine,Cannabis Green Resin,4
Salty Marine,Fresh Citrus Woody,4
Aquatic Fresh,Mineral,4
Aquatic Fresh,Ozonic,4
Ozonic,Sweet Saffron,4
Salty Marine,Aquatic Fresh,4
Metallic Mineral,Aquatic Fresh,4
Salty Marine,Bright Neroli,4
Aquatic Fresh,Iris Powder Accord,4
Ozonic Fresh,Aquatic,4
Aquatic Fresh,Bright Neroli,4
Ozonic,Metallic Mineral,3
Salty Marine,Powdery Musk,3
Powdery Floral,Salty Marine,3
Animalic Leather,Salty Marine,3
Fresh Citrus,Aquatic Fresh,3
Clean White Musk,Ginger Citrus Spice,3
Fresh Citrus,Salty Marine,3
Aquatic Fresh,Sweet Cardamom,3
Musky Amber,Aquatic,3
Ginger Citrus Spice,Cotton Clean,3
Dark Oud Smoke,Metallic Mineral,3
