request_id,age,age_bucket,expected_age_bucket
REQ-00042,17,13-17,<18
REQ-00047,17,13-17,<18
REQ-00057,17,13-17,<18
REQ-00064,17,13-17,<18
REQ-00120,17,13-17,<18
REQ-00156,17,13-17,<18
REQ-00185,16,13-17,<18
REQ-00213,17,13-17,<18
REQ-00256,17,13-17,<18
REQ-00259,17,13-17,<18
REQ-00267,16,13-17,<18
REQ-00268,17,13-17,<18
REQ-00271,17,13-17,<18
REQ-00288,17,13-17,<18
REQ-00306,16,13-17,<18
REQ-00324,16,13-17,<18
REQ-00409,17,13-17,<18
REQ-00420,17,13-17,<18
REQ-00425,16,13-17,<18
REQ-00429,16,13-17,<18
REQ-00454,17,13-17,<18
REQ-00464,16,13-17,<18
REQ-00478,17,13-17,<18
REQ-00505,16,13-17,<18
REQ-00557,17,13-17,<18
REQ-00562,16,13-17,<18
REQ-00595,17,13-17,<18
REQ-00600,17,13-17,<18
REQ-00608,17,13-17,<18
REQ-00615,16,13-17,<18
REQ-00624,16,13-17,<18
REQ-00632,17,13-17,<18
REQ-00663,16,13-17,<18
REQ-00676,17,13-17,<18
REQ-00709,17,13-17,<18
REQ-00723,16,13-17,<18
REQ-00800,17,13-17,<18
REQ-00809,16,13-17,<18
REQ-00847,16,13-17,<18
REQ-00850,17,13-17,<18
REQ-00877,16,13-17,<18
REQ-00913,17,13-17,<18
REQ-00931,17,13-17,<18
REQ-00933,17,13-17,<18
REQ-00941,16,13-17,<18
REQ-00969,17,13-17,<18
REQ-00991,17,13-17,<18
REQ-01003,16,13-17,<18
REQ-01010,16,13-17,<18
REQ-01012,16,13-17,<18
