note_id,accord_id
NOTE-0608,ACC-0066
NOTE-0205,ACC-0104
NOTE-0515,ACC-0119
NOTE-0456,ACC-0249
NOTE-0453,ACC-0119
NOTE-0465,ACC-0214
NOTE-0465,ACC-0179
NOTE-0585,ACC-0230
NOTE-0349,ACC-0258
NOTE-0466,ACC-0100
NOTE-0465,ACC-0143
NOTE-0585,ACC-0237
NOTE-0470,ACC-0141
NOTE-0465,ACC-0187
NOTE-0462,ACC-0263
NOTE-0465,ACC-0152
NOTE-0627,ACC-0280
NOTE-0467,ACC-0172
NOTE-0269,ACC-0283
NOTE-0205,ACC-0128
NOTE-0205,ACC-0165
NOTE-0468,ACC-0100
NOTE-0573,ACC-0194
NOTE-0501,ACC-0165
NOTE-0455,ACC-0219
NOTE-0087,ACC-0133
NOTE-0501,ACC-0261
NOTE-0587,ACC-0230
NOTE-0455,ACC-0252
NOTE-0485,ACC-0120
NOTE-0546,ACC-0152
NOTE-0480,ACC-0104
NOTE-0021,ACC-0287
NOTE-0557,ACC-0033
NOTE-0585,ACC-0219
NOTE-0399,ACC-0281
NOTE-0639,ACC-0063
NOTE-0476,ACC-0106
NOTE-0505,ACC-0266
NOTE-0205,ACC-0101
NOTE-0504,ACC-0068
NOTE-0455,ACC-0257
NOTE-0587,ACC-0232
NOTE-0399,ACC-0269
NOTE-0205,ACC-0168
NOTE-0518,ACC-0121
NOTE-0579,ACC-0197
NOTE-0586,ACC-0220
NOTE-0532,ACC-0131
NOTE-0648,ACC-0090
NOTE-0476,ACC-0200
NOTE-0003,ACC-0276
NOTE-0453,ACC-0154
NOTE-0517,ACC-0140
NOTE-0553,ACC-0152
NOTE-0205,ACC-0191
NOTE-0478,ACC-0154
NOTE-0580,ACC-0200
NOTE-0205,ACC-0230
NOTE-0659,ACC-0296
NOTE-0492,ACC-0002
NOTE-0476,ACC-0119
NOTE-0527,ACC-0295
NOTE-0205,ACC-0237
NOTE-0021,ACC-0103
NOTE-0205,ACC-0236
NOTE-0021,ACC-0259
NOTE-0495,ACC-0145
NOTE-0134,ACC-0211
NOTE-0454,ACC-0157
NOTE-0585,ACC-0225
NOTE-0569,ACC-0231
NOTE-0471,ACC-0106
NOTE-0205,ACC-0203
NOTE-0484,ACC-0174
NOTE-0634,ACC-0033
NOTE-0205,ACC-0232
NOTE-0303,ACC-0115
NOTE-0496,ACC-0173
NOTE-0606,ACC-0043
NOTE-0632,ACC-0054
NOTE-0205,ACC-0291
NOTE-0456,ACC-0264
NOTE-0580,ACC-0208
