note_id,accord_id
NOTE-0678,ACC-0008
NOTE-0807,ACC-0036
NOTE-0027,ACC-0036
NOTE-0234,ACC-0032
NOTE-0806,ACC-0031
NOTE-0740,ACC-0005
NOTE-0525,ACC-0095
NOTE-0692,ACC-0008
NOTE-0556,ACC-0050
NOTE-0852,ACC-0095
NOTE-0169,ACC-0039
NOTE-0764,ACC-0039
NOTE-0560,ACC-0008
NOTE-0800,ACC-0031
NOTE-0087,ACC-0095
NOTE-0474,ACC-0097
NOTE-0087,ACC-0058
NOTE-0484,ACC-0037
NOTE-0123,ACC-0037
NOTE-0275,ACC-0022
NOTE-0869,ACC-0022
NOTE-0545,ACC-0036
NOTE-0154,ACC-0067
NOTE-0726,ACC-0031
NOTE-0666,ACC-0097
NOTE-0573,ACC-0004
NOTE-0674,ACC-0002
NOTE-0314,ACC-0039
NOTE-0197,ACC-0037
NOTE-0702,
NOTE-0779,ACC-0022
NOTE-0040,ACC-0022
NOTE-0789,ACC-0022
NOTE-0407,ACC-0037
NOTE-0611,ACC-0050
NOTE-0689,ACC-0004
NOTE-0694,ACC-0005
NOTE-0672,ACC-0095
NOTE-0743,ACC-0058
NOTE-0677,ACC-0022
NOTE-0673,ACC-0002
NOTE-0507,ACC-0036
NOTE-0169,ACC-0008
NOTE-0399,ACC-0037
NOTE-0518,ACC-0037
NOTE-0771,ACC-0008
NOTE-0871,ACC-0031
NOTE-0545,ACC-0031
NOTE-0609,ACC-0059
NOTE-0498,ACC-0097
NOTE-0501,ACC-0031
NOTE-0194,ACC-0037
NOTE-0468,ACC-0097
NOTE-0657,ACC-0037
NOTE-0588,ACC-0036
NOTE-0695,ACC-0039
NOTE-0777,ACC-0022
NOTE-0815,ACC-0008
NOTE-0154,ACC-0022
NOTE-0516,ACC-0050
NOTE-0846,ACC-0031
NOTE-0194,ACC-0066
NOTE-0617,ACC-0058
NOTE-0447,ACC-0008
NOTE-0509,ACC-0008
NOTE-0175,ACC-0032
NOTE-0808,ACC-0036
NOTE-0494,
NOTE-0876,ACC-0031
NOTE-0727,ACC-0022
NOTE-0513,ACC-0079
NOTE-0505,ACC-0031
NOTE-0712,ACC-0008
NOTE-0006,ACC-0037
NOTE-0302,ACC-0036
NOTE-0774,
NOTE-0645,ACC-0031
NOTE-0650,ACC-0095
NOTE-0690,ACC-0032
NOTE-0739,ACC-0004
NOTE-0524,ACC-0061
NOTE-0844,ACC-0031
NOTE-0680,ACC-0022
NOTE-0720,ACC-0079
NOTE-0634,ACC-0079
NOTE-0688,ACC-0050
NOTE-0240,ACC-0031
NOTE-0662,ACC-0061
NOTE-0649,ACC-0095
NOTE-0193,ACC-0031
NOTE-0491,ACC-0008
NOTE-0665,ACC-0031
NOTE-0648,ACC-0036
NOTE-0773,ACC-0008
NOTE-0827,ACC-0050
NOTE-0461,ACC-0066
NOTE-0550,ACC-0032
NOTE-0767,ACC-0008
NOTE-0559,ACC-0079
NOTE-0509,ACC-0097
NOTE-0738,ACC-0050
NOTE-0171,ACC-0031
NOTE-0220,ACC-0004
NOTE-0490,ACC-0097
NOTE-0015,ACC-0004
NOTE-0188,ACC-0095
NOTE-0507,ACC-0058
NOTE-0455,ACC-0061
NOTE-0693,ACC-0095
NOTE-0463,ACC-0020
NOTE-0757,ACC-0031
NOTE-0799,ACC-0031
NOTE-0661,ACC-0059
NOTE-0466,ACC-0075
NOTE-0704,ACC-0059
NOTE-0119,ACC-0079
NOTE-0480,ACC-0031
NOTE-0224,ACC-0095
NOTE-0081,ACC-0008
NOTE-0158,ACC-0039
NOTE-0527,ACC-0031
NOTE-0714,ACC-0079
NOTE-0491,ACC-0097
NOTE-0554,ACC-0079
NOTE-0678,ACC-0022
NOTE-0716,ACC-0037
NOTE-0725,ACC-0036
NOTE-0825,ACC-0095
NOTE-0699,ACC-0059
NOTE-0294,ACC-0031
NOTE-0696,ACC-0095
NOTE-0706,ACC-0095
NOTE-0818,
NOTE-0788,ACC-0022
NOTE-0090,ACC-0050
NOTE-0705,ACC-0061
NOTE-0737,ACC-0095
NOTE-0713,ACC-0079
NOTE-0560,ACC-0022
NOTE-0758,ACC-0031
NOTE-0862,ACC-0095
NOTE-0751,ACC-0002
NOTE-0762,ACC-0039
NOTE-0640,ACC-0039
NOTE-0849,ACC-0002
NOTE-0765,ACC-0008
NOTE-0659,ACC-0095
NOTE-0641,ACC-0095
NOTE-0679,ACC-0022
NOTE-0828,ACC-0004
NOTE-0795,ACC-0031
NOTE-0745,ACC-0058
NOTE-0376,ACC-0050
NOTE-0127,ACC-0037
NOTE-0119,ACC-0061
NOTE-0753,ACC-0036
NOTE-0714,ACC-0031
NOTE-0541,ACC-0031
NOTE-0786,ACC-0039
NOTE-0682,
NOTE-0476,ACC-0059
NOTE-0489,ACC-0097
NOTE-0309,ACC-0004
NOTE-0327,ACC-0037
NOTE-0718,ACC-0037
NOTE-0668,ACC-0008
NOTE-0735,ACC-0039
NOTE-0639,ACC-0039
NOTE-0705,ACC-0095
NOTE-0505,ACC-0032
NOTE-0609,ACC-0058
NOTE-0510,ACC-0031
NOTE-0682,ACC-0008
NOTE-0715,ACC-0037
NOTE-0617,ACC-0097
NOTE-0763,ACC-0039
NOTE-0660,ACC-0031
NOTE-0674,ACC-0032
NOTE-0863,ACC-0095
NOTE-0495,ACC-0036
NOTE-0879,ACC-0037
NOTE-0586,ACC-0075
NOTE-0882,ACC-0004
NOTE-0311,ACC-0039
NOTE-0711,ACC-0079
NOTE-0483,ACC-0031
NOTE-0848,ACC-0022
NOTE-0766,ACC-0095
NOTE-0155,ACC-0008
NOTE-0291,ACC-0079
NOTE-0550,ACC-0079
NOTE-0003,ACC-0004
NOTE-0554,ACC-0095
NOTE-0671,ACC-0058
NOTE-0509,ACC-0022
NOTE-0344,ACC-0008
NOTE-0757,ACC-0039
NOTE-0477,ACC-0039
NOTE-0841,ACC-0036
NOTE-0669,ACC-0039
