request_id,phrase,canonical_descriptor
REQ-00002,amber,amber
REQ-00002,leather,leather
REQ-00004,vanilla,gourmand
REQ-00007,smoky,smoky
REQ-00007,musk,musky
REQ-00007,aquatic,aquatic
REQ-00008,fresh,fresh
REQ-00008,clean,clean
REQ-00008,freshly washed,clean
REQ-00009,smoky,smoky
REQ-00009,musk,musky
REQ-00012,wet stone,mineral
REQ-00013,leather,leather
REQ-00013,coffee,gourmand
REQ-00016,musk,musky
REQ-00016,ozone,ozonic
REQ-00017,fresh,fresh
REQ-00017,freshly washed,clean
REQ-00017,vanilla,gourmand
REQ-00020,clean,clean
REQ-00021,clean,clean
REQ-00021,hotel lobby,clean
REQ-00022,amber,amber
REQ-00022,sweet,sweet
REQ-00023,ozone,ozonic
REQ-00024,dark,dark
REQ-00026,vanilla,gourmand
REQ-00028,clean,clean
REQ-00028,hotel lobby,clean
REQ-00028,powdery,powdery
REQ-00030,musk,musky
REQ-00031,powdery,powdery
REQ-00032,aquatic,aquatic
REQ-00033,clean,clean
REQ-00033,leather,leather
REQ-00034,leather,leather
REQ-00036,sweet,sweet
REQ-00039,powdery,powdery
REQ-00040,powdery,powdery
REQ-00042,clean,clean
REQ-00043,wet stone,mineral
REQ-00045,ozonic,ozonic
REQ-00046,musky,musky
REQ-00046,musk,musky
REQ-00048,musk,musky
REQ-00048,aquatic,aquatic
REQ-00048,leather,leather
REQ-00048,powdery,powdery
REQ-00048,coffee,gourmand
REQ-00051,vanilla,gourmand
REQ-00052,sweet,sweet
REQ-00053,aquatic,aquatic
REQ-00055,wet stone,mineral
REQ-00056,clean,clean
REQ-00057,powdery,powdery
REQ-00058,leather,leather
REQ-00058,powdery,powdery
REQ-00058,coffee,gourmand
REQ-00059,vanilla,gourmand
REQ-00063,citrus,citrus
REQ-00064,ozone,ozonic
REQ-00065,vanilla,gourmand
REQ-00068,floral,floral
REQ-00069,musk,musky
REQ-00071,smoky,smoky
REQ-00072,smoky,smoky
REQ-00073,ozonic,ozonic
REQ-00073,leather,leather
REQ-00074,clean,clean
REQ-00074,amber,amber
REQ-00074,powdery,powdery
REQ-00075,forest,woody
REQ-00075,citrus,citrus
REQ-00076,powdery,powdery
REQ-00078,powdery,powdery
REQ-00079,powdery,powdery
REQ-00080,leather,leather
REQ-00082,clean,clean
REQ-00082,hotel lobby,clean
REQ-00086,smoky,smoky
REQ-00087,dark,dark
REQ-00087,wet stone,mineral
REQ-00088,woody,woody
REQ-00089,musk,musky
REQ-00091,forest,woody
REQ-00091,citrus,citrus
REQ-00091,after rain,ozonic
REQ-00092,powdery,powdery
REQ-00093,musk,musky
REQ-00093,vanilla,gourmand
REQ-00096,powdery,powdery
REQ-00097,leather,leather
REQ-00100,fresh,fresh
REQ-00100,fresh cut grass,green
REQ-00101,woody,woody
REQ-00101,ozone,ozonic
REQ-00102,citrus,citrus
REQ-00102,ozone,ozonic
REQ-00103,floral,floral
REQ-00103,musk,musky
REQ-00105,spicy,spicy
REQ-00108,citrus,citrus
REQ-00108,musk,musky
REQ-00110,vanilla,gourmand
REQ-00112,sweet,sweet
REQ-00113,powdery,powdery
REQ-00114,powdery,powdery
REQ-00115,leather,leather
REQ-00116,vanilla,gourmand
