src_note_id,src_name,dst_note_id,dst_name,method,score,confidence,needs_review
NOTE-0003,agarwood_oud,NOTE-0003,agarwood_oud,exact_id,1.0,high,False
NOTE-0005,aldehydes,NOTE-0005,aldehydes,exact_id,1.0,high,False
NOTE-0012,amber_accord,NOTE-0012,amber_accord,exact_id,1.0,high,False
NOTE-0016,amberwood,NOTE-0016,amberwood,exact_id,1.0,high,False
NOTE-0021,ambroxan,NOTE-0021,ambroxan,exact_id,1.0,high,False
NOTE-0027,apple,NOTE-0027,apple,exact_id,1.0,high,False
NOTE-0039,benzoin,NOTE-0039,benzoin,exact_id,1.0,high,False
NOTE-0040,bergamot,NOTE-0040,bergamot,exact_id,1.0,high,False
NOTE-0046,birch_tar,NOTE-0046,birch_tar,exact_id,1.0,high,False
NOTE-0075,cade_oil,NOTE-0075,cade_oil,exact_id,1.0,high,False
NOTE-0087,cashmeran,NOTE-0087,cashmeran,exact_id,1.0,high,False
NOTE-0094,cedarwood,NOTE-0094,cedarwood,exact_id,1.0,high,False
NOTE-0116,clary_sage,NOTE-0116,clary_sage,exact_id,1.0,high,False
NOTE-0134,coumarin,NOTE-0134,coumarin,exact_id,1.0,high,False
NOTE-0140,cypriol,NOTE-0140,cypriol,exact_id,1.0,high,False
NOTE-0155,eucalyptus,NOTE-0155,eucalyptus,exact_id,1.0,high,False
NOTE-0166,freesia,NOTE-0166,freesia,exact_id,1.0,high,False
NOTE-0169,galbanum,NOTE-0169,galbanum,exact_id,1.0,high,False
NOTE-0175,grapefruit,NOTE-0175,grapefruit,exact_id,1.0,high,False
NOTE-0180,green_apple,NOTE-0180,green_apple,exact_id,1.0,high,False
NOTE-0187,guaiac_wood,NOTE-0187,guaiac_wood,exact_id,1.0,high,False
NOTE-0193,hedione,NOTE-0193,hedione,exact_id,1.0,high,False
NOTE-0194,heliotrope,NOTE-0194,heliotrope,exact_id,1.0,high,False
NOTE-0204,iris,NOTE-0204,iris,exact_id,1.0,high,False
NOTE-0205,iso_e_super,NOTE-0205,iso_e_super,exact_id,1.0,high,False
NOTE-0209,jasmine,NOTE-0209,jasmine,exact_id,1.0,high,False
NOTE-0220,labdanum,NOTE-0220,labdanum,exact_id,1.0,high,False
NOTE-0222,lavender,NOTE-0222,lavender,exact_id,1.0,high,False
NOTE-0225,lemon,NOTE-0225,lemon,exact_id,1.0,high,False
NOTE-0233,lily_of_the_valley,NOTE-0233,lily_of_the_valley,exact_id,1.0,high,False
