note_id,normalized_note_name,cas_number_clean
NOTE-0224,leather_accord,-
NOTE-0462,patchouli_coeur,-
NOTE-0466,black_tea_absolute,-
NOTE-0516,castoreum_replacer,-
NOTE-0607,oud_synthetic,-
NOTE-0638,fig_leaf_base,-
NOTE-0689,ambergris_replacer,-
NOTE-0691,amberlyn,-
NOTE-0692,ambermarine_base,-
NOTE-0713,boisiris,-
NOTE-0734,civet_synthetic,-
NOTE-0755,finger_lime_oil,-
NOTE-0769,hedione_hc,-
NOTE-0787,kiwi_accord_base,-
NOTE-0802,mango_lactone,-
NOTE-0822,oolong_tea_absolute,-
NOTE-0831,passionfruit_sulfide,-
NOTE-0832,patchouli_light,-
NOTE-0843,rice_steam_note,-
NOTE-0844,roasted_barley,-
NOTE-0878,violet_leaf_alcohol,-
NOTE-0879,water_lily_absolute,-
NOTE-0882,z11_musk,-
NOTE-0157,fig,100-51-6
NOTE-0545,benzyl_alcohol,100-51-6
NOTE-0006,almond,100-52-7
NOTE-0723,cherry,100-52-7
NOTE-0836,phenethyl_acetate,103-45-7
NOTE-0837,phenyl_ethyl_acetate,103-45-7
NOTE-0104,cinnamon,104-55-2
NOTE-0724,cinnamaldehyde,104-55-2
NOTE-0124,coconut,104-61-0
NOTE-0518,coconut_lactone,104-61-0
NOTE-0663,aldehyde_c_18,104-61-0
NOTE-0676,aldehyde_c18,104-61-0
NOTE-0677,aldehyde_c18_coconut,104-61-0
NOTE-0768,hay_lactone,104-61-0
NOTE-0858,sylkolide,104-61-0
NOTE-0302,peach,104-67-6
NOTE-0655,aldehyde_c_14,104-67-6
NOTE-0673,aldehyde_c14,104-67-6
NOTE-0674,aldehyde_c14_peach,104-67-6
NOTE-0833,peach_aldehyde,104-67-6
NOTE-0318,pineapple,105-54-4
NOTE-0551,ethyl_butyrate,105-54-4
NOTE-0464,aldehyde_c_12_mna,110-41-8
NOTE-0671,aldehyde_c12_mna,110-41-8
NOTE-0683,aldehydes_c12_mna,110-41-8
NOTE-0489,aldehyde_c_10,112-31-2
NOTE-0668,aldehyde_c10,112-31-2
NOTE-0681,aldehydes_c10,112-31-2
NOTE-0474,aldehyde_c_11,112-44-7
NOTE-0669,aldehyde_c11,112-44-7
NOTE-0682,aldehydes_c11,112-44-7
NOTE-0349,saffron,116-26-7
NOTE-0846,safranal,116-26-7
NOTE-0194,heliotrope,120-57-0
NOTE-0484,heliotropin,120-57-0
NOTE-0770,heliotrope_absolute,120-57-0
NOTE-0840,piperonal,120-57-0
NOTE-0871,vanitrope,120-57-0
NOTE-0407,vanilla,121-33-5
NOTE-0456,vanillin,121-33-5
NOTE-0505,galaxolide,1222-05-5
NOTE-0759,fixolide,1222-05-5
NOTE-0807,musk_synthetic,1222-05-5
NOTE-0534,ionone_alpha,127-41-3
NOTE-0686,alpha_ionone,127-41-3
NOTE-0803,methyl_anthranilate,134-20-3
NOTE-0804,methyl_anthranilate_natural,134-20-3
NOTE-0608,tonalid,1506-02-1
NOTE-0866,tonalide,1506-02-1
NOTE-0745,damascenol,28664-35-9
NOTE-0753,fenugreek,28664-35-9
NOTE-0851,sotolone,28664-35-9
NOTE-0874,vertofix,32388-55-9
NOTE-0875,vertofix_coeur,32388-55-9
NOTE-0087,cashmeran,33704-61-9
NOTE-0719,cashmeran_high_purity,33704-61-9
NOTE-0763,furaneol,3658-77-3
NOTE-0855,strawberry_furanone,3658-77-3
NOTE-0610,civetone,542-46-1
NOTE-0735,civettone,542-46-1
NOTE-0205,iso_e_super,54464-57-2
NOTE-0777,iso_e_super_plus,54464-57-2
NOTE-0863,timber_silk,54464-57-2
NOTE-0327,raspberry,5471-51-2
NOTE-0599,raspberry_ketone,5471-51-2
NOTE-0658,maple_lactone,5471-51-2
NOTE-0458,patchouli_alcohol,5986-55-0
NOTE-0515,patchouli_heart,5986-55-0
NOTE-0277,nutmeg,607-91-0
NOTE-0809,myristicin,607-91-0
NOTE-0651,floralozone,67634-15-5
NOTE-0685,allyl_amyl_glycolate,67634-15-5
NOTE-0021,ambroxan,6790-58-5
NOTE-0690,ambergris_tincture,6790-58-5
NOTE-0694,ambrein,6790-58-5
NOTE-0716,calamansi_oil,68917-75-9
NOTE-0880,wintergreen_oil,68917-75-9
NOTE-0630,timberol,70788-30-6
NOTE-0864,timberone,70788-30-6
NOTE-0454,cedarwood_atlas,77-53-2
NOTE-0701,atlas_cedrol,77-53-2
NOTE-0648,ionone_beta,79-77-6
NOTE-0776,irone_beta,79-77-6
NOTE-0793,lilial,80-54-6
NOTE-0794,lilial_butylphenyl_methylpropional,80-54-6
NOTE-0742,cyclotene,80-71-7
NOTE-0865,toasted_sugar,80-71-7
NOTE-0344,rosemary,8000-25-7
NOTE-0535,rosemary_oil,8000-25-7
NOTE-0075,cade_oil,8000-27-9
NOTE-0094,cedarwood,8000-27-9
NOTE-0459,cedarwood_virginia,8000-27-9
NOTE-0785,juniper_tar,8000-27-9
NOTE-0862,texas_cedarwood,8000-27-9
NOTE-0222,lavender,8000-28-0
NOTE-0447,lavender_absolute,8000-28-0
NOTE-0499,lavender_oil,8000-28-0
NOTE-0730,citron_oil,8000-29-1
NOTE-0731,citronella,8000-29-1
NOTE-0081,cardamom,8000-66-6
NOTE-0550,cardamom_oil,8000-66-6
NOTE-0581,iris_butter,8001-82-7
NOTE-0826,orris_absolute,8001-82-7
NOTE-0046,birch_tar,8001-88-5
NOTE-0471,birch_tar_rectified,8001-88-5
NOTE-0838,pine_needle_oil,8002-09-3
NOTE-0839,pine_tar,8002-09-3
NOTE-0722,champaca_absolute,8006-71-5
NOTE-0765,gardenia_absolute,8006-71-5
NOTE-0703,bay_leaf_oil,8006-78-8
NOTE-0704,bay_oil,8006-78-8
NOTE-0445,ylang_ylang,8006-81-3
NOTE-0494,ylang_ylang_extra,8006-81-3
NOTE-0053,black_pepper,8006-82-4
NOTE-0554,black_pepper_oil,8006-82-4
NOTE-0354,sandalwood,8006-87-9
NOTE-0632,sandalwood_oil,8006-87-9
NOTE-0709,bitter_orange_oil,8006-90-4
NOTE-0806,mint_oil,8006-90-4
NOTE-0338,rose,8007-01-0
NOTE-0501,rose_absolute,8007-01-0
NOTE-0715,bulgarian_rose_otto,8007-01-0
NOTE-0746,damask_rose_oil,8007-01-0
NOTE-0786,kaffir_lime_leaf_oil,8007-02-1
NOTE-0791,lemongrass,8007-02-1
NOTE-0792,lemongrass_oil,8007-02-1
NOTE-0172,ginger,8007-08-7
NOTE-0635,ginger_oil,8007-08-7
NOTE-0388,thyme,8007-46-3
NOTE-0558,thyme_oil,8007-46-3
NOTE-0040,bergamot,8007-75-8
NOTE-0449,bergamot_oil,8007-75-8
NOTE-0707,bergamot_oil_fcf,8007-75-8
NOTE-0234,lime,8008-26-2
NOTE-0795,lime_oil,8008-26-2
NOTE-0796,lime_oil_distilled,8008-26-2
NOTE-0246,mandarin,8008-31-9
NOTE-0654,mandarin_oil,8008-31-9
NOTE-0130,coriander,8008-52-4
NOTE-0560,coriander_seed_oil,8008-52-4
NOTE-0490,lemon_oil,8008-56-8
NOTE-0737,clementine_oil,8008-56-8
NOTE-0790,lemon_oil_expressed,8008-56-8
NOTE-0824,orange_oil_sweet,8008-57-9
NOTE-0857,sweet_orange_oil,8008-57-9
NOTE-0038,beeswax,8012-89-3
NOTE-0575,beeswax_absolute,8012-89-3
NOTE-0783,juniper_berry,8012-91-7
NOTE-0784,juniper_berry_oil,8012-91-7
NOTE-0301,patchouli,8014-09-3
NOTE-0604,patchouli_oil,8014-09-3
NOTE-0311,petitgrain,8014-17-3
NOTE-0491,petitgrain_oil,8014-17-3
NOTE-0023,amyris,8015-65-4
NOTE-0695,amyris_oil,8015-65-4
NOTE-0036,basil,8015-73-4
NOTE-0185,green_tea,8015-73-4
NOTE-0557,basil_oil,8015-73-4
NOTE-0319,pink_pepper,8015-91-6
NOTE-0546,cinnamon_leaf_oil,8015-91-6
NOTE-0175,grapefruit,8016-20-4
NOTE-0526,grapefruit_oil,8016-20-4
NOTE-0634,pink_pepper_oil,8016-20-4
NOTE-0472,guaiac_wood_oil,8016-23-7
NOTE-0767,guaiacwood,8016-23-7
NOTE-0220,labdanum,8016-26-0
NOTE-0455,labdanum_absolute,8016-26-0
NOTE-0788,labdanum_resin,8016-26-0
NOTE-0165,frankincense,8016-36-2
NOTE-0613,frankincense_oil,8016-36-2
NOTE-0820,olibanum_oil,8016-36-2
NOTE-0284,opoponax,8016-37-3
NOTE-0810,myrrh_oil,8016-37-3
NOTE-0823,opoponax_resin,8016-37-3
NOTE-0275,neroli,8016-38-4
NOTE-0286,orange_blossom,8016-38-4
NOTE-0493,orange_blossom_absolute,8016-38-4
NOTE-0530,neroli_oil,8016-38-4
NOTE-0762,frangipani_absolute,8016-38-4
NOTE-0116,clary_sage,8016-63-5
NOTE-0451,clary_sage_oil,8016-63-5
NOTE-0188,haitian_vetiver,8016-96-4
NOTE-0416,vetiver,8016-96-4
NOTE-0782,java_vetiver,8016-96-4
NOTE-0877,vetiver_oil,8016-96-4
NOTE-0090,castoreum,8023-83-4
NOTE-0611,castoreum_absolute,8023-83-4
NOTE-0154,elemi,8023-89-0
NOTE-0478,elemi_resin,8023-89-0
NOTE-0749,elemi_oil,8023-89-0
NOTE-0169,galbanum,8023-91-4
NOTE-0637,galbanum_oil,8023-91-4
NOTE-0390,tobacco,8037-19-2
NOTE-0519,tobacco_absolute,8037-19-2
NOTE-0376,styrax,8046-19-3
NOTE-0573,styrax_resin,8046-19-3
NOTE-0606,styrax_resinoid,8046-19-3
NOTE-0123,cocoa,84649-99-0
NOTE-0542,coffee_absolute,84649-99-0
NOTE-0453,vetiver_haiti,89-81-6
NOTE-0586,vetiver_java,89-81-6
NOTE-0469,frankincense_co2,89957-98-2
NOTE-0821,olibanum_resinoid,89957-98-2
NOTE-0039,benzoin,9000-05-9
NOTE-0457,benzoin_siam,9000-05-9
NOTE-0271,myrrh,9000-45-7
NOTE-0614,myrrh_resinoid,9000-45-7
NOTE-0811,myrrh_resin,9000-45-7
NOTE-0280,oakmoss,90028-68-5
NOTE-0452,oakmoss_absolute,90028-68-5
NOTE-0702,australian_sandalwood,90106-38-0
NOTE-0868,turkish_rose_absolute,90106-38-0
NOTE-0134,coumarin,91-64-5
NOTE-0399,tonka_bean,91-64-5
NOTE-0739,coumarin_refined,91-64-5
NOTE-0448,lavandin_oil,91722-69-9
NOTE-0801,magnolia_absolute,91722-69-9
NOTE-0744,cypriol_oil_nagarmotha,91745-46-9
NOTE-0830,papyrus_oil,91745-46-9
NOTE-0525,cypriol_oil,91771-62-9
NOTE-0623,cypriol_nagarmotha,91771-62-9
NOTE-0812,nagarmotha,91771-62-9
NOTE-0294,osmanthus,92347-21-2
NOTE-0827,osmanthus_absolute,92347-21-2
NOTE-0158,fig_leaf,928-96-1
NOTE-0532,cis_3_hexenol,928-96-1
NOTE-0119,clove,97-53-0
NOTE-0552,eugenol,97-53-0
