accord_id,note_id,note_role,layer,importance_weight,presence_prob,compatibility_score,stability_class,rank_in_layer
ACC-0002,NOTE-0501,support,heart,3,0.7,0.9,high,1
ACC-0002,NOTE-0492,modifier,heart,2,0.6,0.85,high,2
ACC-0002,NOTE-0489,driver,top,5,0.9,0.85,high,1
ACC-0002,NOTE-0474,driver,top,4,0.85,0.85,high,2
ACC-0002,NOTE-0464,support,top,4,0.8,0.9,high,2
ACC-0002,NOTE-0509,support,top/heart,3,0.75,0.95,high,1
ACC-0003,NOTE-0484,driver,base,5,0.95,0.9,high,1
ACC-0003,NOTE-0496,support,base,4,0.8,0.9,high,2
ACC-0003,NOTE-0456,support,base,3,0.75,0.95,high,3
ACC-0003,NOTE-0134,support,base,3,0.7,0.9,high,3
ACC-0003,NOTE-0662,modifier,heart,2,0.6,0.85,high,1
ACC-0003,NOTE-0536,driver,heart/base,4,0.85,0.85,medium,1
ACC-0004,NOTE-0455,driver,base,5,0.85,0.94,high,1
ACC-0004,NOTE-0455,driver,base,5,0.95,0.9,medium,1
ACC-0004,NOTE-0456,driver,base,4,0.8,0.92,medium,2
ACC-0004,NOTE-0456,driver,base,4,0.9,0.95,high,2
ACC-0004,NOTE-0021,modifier,base,3,0.6,0.95,high,3
ACC-0004,NOTE-0631,modifier,base,3,0.7,0.95,high,3
ACC-0004,NOTE-0457,support,base,3,0.65,0.9,high,3
ACC-0004,NOTE-0457,support,base,3,0.85,0.9,high,3
ACC-0004,NOTE-0458,modifier,base,2,0.6,0.85,medium,4
ACC-0004,NOTE-0458,support,base,2,0.45,0.88,high,4
ACC-0005,NOTE-0609,driver,base,5,0.85,0.75,medium,1
ACC-0005,NOTE-0610,driver,base,4,0.8,0.7,medium,2
ACC-0005,NOTE-0611,support,base,3,0.7,0.75,medium,3
ACC-0005,NOTE-0615,support,base,3,0.65,0.7,medium,3
ACC-0005,NOTE-0455,modifier,base,2,0.7,0.85,medium,4
ACC-0005,NOTE-0653,support,heart,2,0.6,0.75,medium,1
ACC-0007,NOTE-0641,support,base,3,0.7,0.95,high,1
ACC-0007,NOTE-0475,support,base,2,0.5,0.75,medium,2
ACC-0007,NOTE-0639,driver,heart,4,0.85,0.9,high,1
ACC-0007,NOTE-0193,modifier,heart,2,0.6,0.95,high,2
ACC-0007,NOTE-0640,support,top,3,0.75,0.9,high,1
ACC-0007,NOTE-0497,driver,top/heart,5,0.95,0.85,high,1
ACC-0008,NOTE-0558,support,heart,3,0.65,0.85,high,1
ACC-0008,NOTE-0451,modifier,heart,2,0.55,0.9,high,2
ACC-0008,NOTE-0499,driver,top,5,0.95,0.95,high,1
ACC-0008,NOTE-0535,driver,top,4,0.8,0.9,high,2
ACC-0008,NOTE-0557,support,top,2,0.6,0.85,high,3
ACC-0008,NOTE-0636,support,top/heart,3,0.7,0.85,high,1
ACC-0017,NOTE-0495,driver,base,5,0.95,0.9,high,1
ACC-0017,NOTE-0657,driver,base,4,0.85,0.9,high,2
ACC-0017,NOTE-0658,support,base,4,0.8,0.85,high,2
ACC-0017,NOTE-0456,support,base,3,0.9,0.95,high,3
ACC-0017,NOTE-0496,support,base,3,0.75,0.9,high,3
ACC-0017,NOTE-0309,modifier,base,2,0.7,0.9,high,4
ACC-0020,NOTE-0452,driver,base,5,0.95,0.85,medium,1
ACC-0020,NOTE-0604,driver,base,4,0.85,0.8,medium,2
ACC-0020,NOTE-0455,support,base,3,0.75,0.85,medium,3
ACC-0020,NOTE-0453,modifier,base,2,0.6,0.85,high,4
ACC-0020,NOTE-0501,support,heart,3,0.7,0.85,high,1
ACC-0020,NOTE-0492,support,heart,2,0.55,0.8,high,2
ACC-0020,NOTE-0449,driver,top,5,0.9,0.95,high,1
ACC-0022,NOTE-0449,driver,top,5,0.95,0.95,high,1
ACC-0022,NOTE-0490,driver,top,4,0.9,0.95,high,2
ACC-0022,NOTE-0654,support,top,3,0.8,0.95,high,3
ACC-0022,NOTE-0526,support,top,3,0.75,0.9,high,3
ACC-0022,NOTE-0491,support,top,2,0.7,0.9,high,4
ACC-0022,NOTE-0530,modifier,top/heart,2,0.65,0.9,high,1
ACC-0024,NOTE-0663,driver,base,5,0.9,0.9,high,1
ACC-0024,NOTE-0664,driver,base,5,0.85,0.9,high,1
ACC-0024,NOTE-0456,support,base,3,0.8,0.95,high,2
ACC-0024,NOTE-0484,modifier,base,2,0.65,0.9,high,3
ACC-0024,NOTE-0496,support,base,2,0.7,0.9,high,3
ACC-0028,NOTE-0604,driver,base,5,0.95,0.8,medium,1
ACC-0028,NOTE-0453,driver,base,4,0.85,0.85,high,2
ACC-0028,NOTE-0452,support,base,3,0.8,0.85,medium,3
ACC-0028,NOTE-0525,support,base,3,0.75,0.8,medium,3
ACC-0028,NOTE-0615,modifier,base,2,0.6,0.7,medium,4
ACC-0028,NOTE-0455,support,base,2,0.7,0.85,medium,4
ACC-0033,NOTE-0205,modifier,base,1,0.7,0.96,high,1
ACC-0033,NOTE-0021,modifier,base,1,0.65,0.95,high,1
ACC-0033,NOTE-0450,modifier,heart,2,0.55,0.9,high,1
ACC-0033,NOTE-0549,driver,top,5,0.8,0.9,low,1
ACC-0033,NOTE-0634,driver,top,5,0.9,0.9,high,1
ACC-0033,NOTE-0635,driver,top,4,0.85,0.9,high,2
ACC-0033,NOTE-0550,support,top,4,0.75,0.92,low,2
ACC-0033,NOTE-0319,support,top,3,0.7,0.91,low,3
ACC-0033,NOTE-0449,support,top,3,0.75,0.95,high,3
ACC-0033,NOTE-0449,modifier,top,2,0.85,0.94,low,4
ACC-0033,NOTE-0557,support,top,2,0.6,0.85,high,4
ACC-0033,NOTE-0550,support,top/heart,3,0.8,0.9,high,1
ACC-0036,NOTE-0456,modifier,base,2,0.6,0.95,high,1
ACC-0036,NOTE-0655,driver,heart,4,0.8,0.9,high,1
ACC-0036,NOTE-0504,support,heart,3,0.7,0.85,high,2
ACC-0036,NOTE-0551,support,top,2,0.65,0.85,high,1
ACC-0036,NOTE-0599,driver,top/heart,5,0.85,0.85,high,1
ACC-0036,NOTE-0656,support,top/heart,3,0.75,0.9,high,2
ACC-0037,NOTE-0456,driver,base,5,0.95,0.95,high,1
ACC-0037,NOTE-0495,driver,base,4,0.85,0.9,high,2
ACC-0037,NOTE-0134,support,base,4,0.8,0.9,high,2
ACC-0037,NOTE-0496,support,base,3,0.75,0.9,high,3
ACC-0037,NOTE-0457,support,base,3,0.7,0.9,high,3
ACC-0037,NOTE-0642,modifier,base,2,0.6,0.85,medium,4
ACC-0039,NOTE-0453,modifier,base,2,0.55,0.85,high,1
ACC-0039,NOTE-0480,driver,heart,4,0.85,0.85,high,1
ACC-0039,NOTE-0638,support,heart,2,0.6,0.85,high,2
ACC-0039,NOTE-0532,support,top,4,0.8,0.9,high,1
ACC-0039,NOTE-0491,support,top,3,0.75,0.9,high,2
ACC-0039,NOTE-0637,driver,top/heart,5,0.9,0.8,medium,1
ACC-0041,NOTE-0574,driver,base,5,0.9,0.85,medium,1
ACC-0041,NOTE-0667,driver,base,4,0.8,0.8,medium,2
ACC-0041,NOTE-0575,support,base,3,0.75,0.85,high,3
ACC-0041,NOTE-0456,support,base,3,0.8,0.95,high,3
