accord_id,accord_name,accord_category,note_id,note_name,default_pct,min_pct,max_pct,layers,roles
ACC-0002,Aldehydic,Fresh,NOTE-0464,Aldehyde C-12 MNA,9.645192903858076,5.787115742314846,13.504270085401707,top,support
ACC-0002,Aldehydic,Fresh,NOTE-0474,Aldehyde C-11,9.679193583871678,5.807116142322847,13.551271025420508,top,driver
ACC-0002,Aldehydic,Fresh,NOTE-0489,Aldehyde C-10,12.810256205124102,7.686153723074461,17.935358707174142,top,driver
ACC-0002,Aldehydic,Fresh,NOTE-0492,Jasmine Absolute,16.480329606592132,9.888197763955278,23.073461469229382,heart,modifier
ACC-0002,Aldehydic,Fresh,NOTE-0501,Rose Absolute,30.53761075221504,18.322366447328946,42.752855057101144,heart,support
ACC-0002,Aldehydic,Fresh,NOTE-0509,Linalool,20.847416948338964,12.509250185003701,29.186583731674634,heart|top,support
ACC-0003,Almond,Gourmand,NOTE-0134,Coumarin,5.987,3.592,8.382,base,support
ACC-0003,Almond,Gourmand,NOTE-0456,Vanillin,6.771,4.063,9.479,base,support
ACC-0003,Almond,Gourmand,NOTE-0484,Heliotropin,13.542,8.125,18.959,base,driver
ACC-0003,Almond,Gourmand,NOTE-0496,Tonka Bean Absolute,9.123,5.474,12.772,base,support
ACC-0003,Almond,Gourmand,NOTE-0536,Benzaldehyde,39.748999999999995,23.849,55.649,base|heart,driver
ACC-0003,Almond,Gourmand,NOTE-0662,Anisaldehyde,24.828,14.897,34.759,heart,modifier
ACC-0004,Amber,Amber,NOTE-0021,Ambroxan,7.065858682826343,4.238915221695566,9.89180216395672,base,modifier
ACC-0004,Amber,Amber,NOTE-0455,Labdanum Absolute,34.17231655366893,20.503589928201436,47.84004319913602,base,driver
ACC-0004,Amber,Amber,NOTE-0456,Vanillin,26.296474070518588,15.777684446311074,36.814263714725705,base,driver
ACC-0004,Amber,Amber,NOTE-0457,Benzoin Siam,16.734665306693866,10.04079918401632,23.42753144937101,base,support
ACC-0004,Amber,Amber,NOTE-0458,Patchouli Alcohol,7.48785024299514,4.492910141797164,10.482790344193116,base,modifier|support
ACC-0004,Amber,Amber,NOTE-0631,Cetalox,8.242835143297135,4.94590108197836,11.540769184616309,base,modifier
ACC-0005,Animalic,Animalic,NOTE-0455,Labdanum Absolute,4.98,2.988,6.973,base,modifier
ACC-0005,Animalic,Animalic,NOTE-0609,Muscone,13.34,8.004,18.676,base,driver
ACC-0005,Animalic,Animalic,NOTE-0610,Civetone,9.375,5.625,13.125,base,driver
ACC-0005,Animalic,Animalic,NOTE-0611,Castoreum Absolute,6.592,3.955,9.228,base,support
ACC-0005,Animalic,Animalic,NOTE-0615,Costus Oil,5.713,3.428,7.998,base,support
ACC-0005,Animalic,Animalic,NOTE-0653,Indole,60.0,36.0,84.0,heart,support
ACC-0007,Aquatic,Fresh,NOTE-0193,Hedione,8.249,4.95,11.549,heart,modifier
ACC-0007,Aquatic,Fresh,NOTE-0475,Seaweed Absolute,8.197,4.918,11.475,base,support
ACC-0007,Aquatic,Fresh,NOTE-0497,Calone,27.089,16.253,37.924,heart|top,driver
ACC-0007,Aquatic,Fresh,NOTE-0639,Helional,22.143,13.286,31.0,heart,driver
ACC-0007,Aquatic,Fresh,NOTE-0640,Melonal,12.519,7.512,17.527,top,support
ACC-0007,Aquatic,Fresh,NOTE-0641,Ambrocenide,21.803,13.082,30.525,base,support
ACC-0008,Aromatic,Aromatic,NOTE-0451,Clary Sage Oil,17.97782022179778,10.78689213107869,25.168748312516875,heart,modifier
ACC-0008,Aromatic,Aromatic,NOTE-0499,Lavender Oil,17.31982680173198,10.391896081039189,24.247757522424777,top,driver
ACC-0008,Aromatic,Aromatic,NOTE-0535,Rosemary Oil,11.053889461105388,6.6319336806631926,15.475845241547585,top,driver
ACC-0008,Aromatic,Aromatic,NOTE-0557,Basil Oil,3.914960850391496,2.348976510234898,5.480945190548094,top,support
ACC-0008,Aromatic,Aromatic,NOTE-0558,Thyme Oil,30.09969900300997,18.059819401805978,42.13957860421396,heart,support
ACC-0008,Aromatic,Aromatic,NOTE-0636,Sage Oil,19.63380366196338,11.779882201177987,27.48672513274867,heart|top,support
ACC-0017,Caramel,Gourmand,NOTE-0309,Peru Balsam,7.922,4.753,11.091,base,modifier
ACC-0017,Caramel,Gourmand,NOTE-0456,Vanillin,16.127,9.676,22.578,base,support
ACC-0017,Caramel,Gourmand,NOTE-0495,Ethyl Maltol,26.878,16.127,37.63,base,driver
ACC-0017,Caramel,Gourmand,NOTE-0496,Tonka Bean Absolute,12.732,7.639,17.825,base,support
ACC-0017,Caramel,Gourmand,NOTE-0657,Maltol,19.239,11.544,26.935,base,driver
ACC-0017,Caramel,Gourmand,NOTE-0658,Maple Lactone,17.102,10.261,23.942,base,support
ACC-0020,Chypre,Mossy,NOTE-0449,Bergamot Oil,25.0,15.0,35.0,top,driver
ACC-0020,Chypre,Mossy,NOTE-0452,Oakmoss Absolute,12.5,7.5,17.5,base,driver
ACC-0020,Chypre,Mossy,NOTE-0453,Vetiver Haiti,3.158,1.895,4.421,base,modifier
ACC-0020,Chypre,Mossy,NOTE-0455,Labdanum Absolute,5.921,3.553,8.289,base,support
ACC-0020,Chypre,Mossy,NOTE-0492,Jasmine Absolute,14.859,8.916,20.803,heart,support
ACC-0020,Chypre,Mossy,NOTE-0501,Rose Absolute,30.141,18.084,42.197,heart,support
ACC-0020,Chypre,Mossy,NOTE-0604,Patchouli Oil,8.421,5.053,11.789,base,driver
ACC-0022,Citrus,Fresh,NOTE-0449,Bergamot Oil,11.444,6.866,16.022,top,driver
ACC-0022,Citrus,Fresh,NOTE-0490,Lemon Oil,8.673,5.204,12.143,top,driver
ACC-0022,Citrus,Fresh,NOTE-0491,Petitgrain Oil,3.195,1.917,4.474,top,support
ACC-0022,Citrus,Fresh,NOTE-0526,Grapefruit Oil,5.136,3.081,7.19,top,support
ACC-0022,Citrus,Fresh,NOTE-0530,Neroli Oil,65.77,39.461,92.077,heart|top,modifier
ACC-0022,Citrus,Fresh,NOTE-0654,Mandarin Oil,5.782,3.469,8.095,top,support
ACC-0024,Coconut,Gourmand,NOTE-0456,Vanillin,18.117,10.87,25.364,base,support
ACC-0024,Coconut,Gourmand,NOTE-0484,Heliotropin,9.297,5.578,13.015,base,modifier
ACC-0024,Coconut,Gourmand,NOTE-0496,Tonka Bean Absolute,10.012,6.007,14.017,base,support
ACC-0024,Coconut,Gourmand,NOTE-0663,Aldehyde C-18,32.181,19.309,45.054,base,driver
ACC-0024,Coconut,Gourmand,NOTE-0664,Gamma-Nonalactone,30.393,18.236,42.551,base,driver
ACC-0028,Earthy,Woody,NOTE-0452,Oakmoss Absolute,16.241837581624182,9.744902550974489,22.738772612273877,base,support
ACC-0028,Earthy,Woody,NOTE-0453,Vetiver Haiti,23.009769902300977,13.805861941380584,32.21267787322127,base,driver
ACC-0028,Earthy,Woody,NOTE-0455,Labdanum Absolute,9.47490525094749,5.684943150568493,13.263867361326385,base,support
ACC-0028,Earthy,Woody,NOTE-0525,Cypriol Oil,14.330856691433084,8.598914010859891,20.063799362006378,base,support
ACC-0028,Earthy,Woody,NOTE-0604,Patchouli Oil,30.254697453025468,18.15281847181528,42.356576434235656,base,driver
ACC-0028,Earthy,Woody,NOTE-0615,Costus Oil,6.687933120668792,4.012959870401295,9.36290637093629,base,modifier
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0021,Ambroxan,14.365856341436585,8.61991380086199,20.111798882011175,base,modifier
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0205,Iso E Super,15.633843661563384,9.379906200937992,21.887781122188777,base,modifier
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0319,Pink Pepper,2.2519774802251975,1.3509864901350985,3.1519684803151966,top,support
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0449,Bergamot Oil,4.401955980440196,2.640973590264097,6.161938380616194,top,modifier|support
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0450,Geranium Oil,21.521784782152174,12.912870871291286,30.129698703012966,heart,modifier
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0549,Ginger CO₂,4.241957580424195,2.5449745502544974,5.938940610593894,top,driver
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0550,Cardamom Oil,28.00271997280027,16.801831981680184,39.20460795392046,heart|top,support
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0557,Basil Oil,1.2019879801201987,0.7209927900720993,1.6829831701682982,top,support
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0634,Pink Pepper Oil,4.771952280477195,2.862971370286297,6.680933190668093,top,driver
ACC-0033,Fresh Spicy,Fresh Spicy,NOTE-0635,Ginger Oil,3.605963940360596,2.1629783702162975,5.047949520504795,top,driver
ACC-0036,Fruity,Fruity,NOTE-0456,Vanillin,30.000300003000028,18.000180001800018,42.00042000420004,base,modifier
ACC-0036,Fruity,Fruity,NOTE-0504,Damascenone,10.733107331073311,6.440064400644006,15.027150271502714,heart,support
ACC-0036,Fruity,Fruity,NOTE-0551,Ethyl Butyrate,7.040070400704007,4.2240422404224045,9.857098570985709,top,support
ACC-0036,Fruity,Fruity,NOTE-0599,Raspberry Ketone,22.369223692236922,13.422134221342214,31.317313173131726,heart|top,driver
ACC-0036,Fruity,Fruity,NOTE-0655,Aldehyde C-14,17.31817318173182,10.39110391103911,24.245242452424524,heart,driver
ACC-0036,Fruity,Fruity,NOTE-0656,Apple Lactone,12.539125391253911,7.524075240752407,17.555175551755518,heart|top,support
ACC-0037,Gourmand,Gourmand,NOTE-0134,Coumarin,18.716,11.23,26.203,base,support
ACC-0037,Gourmand,Gourmand,NOTE-0456,Vanillin,29.326,17.595,41.056,base,driver
ACC-0037,Gourmand,Gourmand,NOTE-0457,Benzoin Siam,12.283,7.37,17.196,base,support
ACC-0037,Gourmand,Gourmand,NOTE-0495,Ethyl Maltol,19.886,11.932,27.841,base,driver
ACC-0037,Gourmand,Gourmand,NOTE-0496,Tonka Bean Absolute,13.16,7.896,18.424,base,support
ACC-0037,Gourmand,Gourmand,NOTE-0642,Caramel Note,6.629,3.977,9.28,base,modifier
ACC-0039,Green,Green,NOTE-0453,Vetiver Haiti,30.0,18.0,42.0,base,modifier
ACC-0039,Green,Green,NOTE-0480,Violet Leaf Absolute,22.776,13.665,31.886,heart,driver
ACC-0039,Green,Green,NOTE-0491,Petitgrain Oil,7.55,4.53,10.57,top,support
ACC-0039,Green,Green,NOTE-0532,cis-3-Hexenol,10.738,6.443,15.034,top,support
ACC-0039,Green,Green,NOTE-0637,Galbanum Oil,20.897,12.538,29.256,heart|top,driver
ACC-0039,Green,Green,NOTE-0638,Fig Leaf Base,8.039,4.823,11.254,heart,support
ACC-0041,Honey,Gourmand,NOTE-0456,Vanillin,7.704,4.623,10.786,base,support
ACC-0041,Honey,Gourmand,NOTE-0493,Orange Blossom Absolute,60.0,36.0,84.0,heart,modifier
ACC-0041,Honey,Gourmand,NOTE-0496,Tonka Bean Absolute,4.258,2.555,5.961,base,support
ACC-0041,Honey,Gourmand,NOTE-0574,Honey Absolute,12.925,7.755,18.095,base,driver
ACC-0041,Honey,Gourmand,NOTE-0575,Beeswax Absolute,6.463,3.878,9.048,base,support
ACC-0041,Honey,Gourmand,NOTE-0667,Phenylacetic Acid,8.65,5.19,12.111,base,driver
ACC-0043,Incense,Resinous,NOTE-0454,Cedarwood Atlas,3.3369666303336967,2.001979980200198,4.671953280467195,base,modifier
ACC-0043,Incense,Resinous,NOTE-0455,Labdanum Absolute,7.757922420775792,4.654953450465495,10.860891391086088,base,support
ACC-0043,Incense,Resinous,NOTE-0478,Elemi Resin,39.46360536394636,23.678763212367876,55.24944750552494,heart|top,support
ACC-0043,Incense,Resinous,NOTE-0606,Styrax Resinoid,5.389946100538994,3.2339676603233967,7.5469245307546915,base,support
ACC-0043,Incense,Resinous,NOTE-0613,Frankincense Oil,36.29363706362936,21.77578224217758,50.81049189508105,base|heart,driver
ACC-0043,Incense,Resinous,NOTE-0614,Myrrh Resinoid,7.757922420775792,4.654953450465495,10.860891391086088,base,driver
ACC-0050,Leather,Leather,NOTE-0046,Birch Tar,11.688,7.013,16.364,base,driver
ACC-0050,Leather,Leather,NOTE-0349,Saffron,60.0,36.0,84.0,heart,modifier
ACC-0050,Leather,Leather,NOTE-0453,Vetiver Haiti,6.182,3.709,8.655,base,support
ACC-0050,Leather,Leather,NOTE-0455,Labdanum Absolute,7.065,4.239,9.891,base,support
ACC-0050,Leather,Leather,NOTE-0485,IsoButyl Quinoline,8.831,5.299,12.364,base,driver
ACC-0050,Leather,Leather,NOTE-0606,Styrax Resinoid,6.234,3.74,8.727,base,support
ACC-0054,Milky,Gourmand,NOTE-0087,Cashmeran,7.79,4.674,10.905,base,modifier
ACC-0054,Milky,Gourmand,NOTE-0456,Vanillin,21.505,12.903,30.107,base,support
ACC-0054,Milky,Gourmand,NOTE-0484,Heliotropin,12.583,7.55,17.617,base,support
ACC-0054,Milky,Gourmand,NOTE-0507,Ambrettolide,13.482,8.089,18.875,base,support
ACC-0054,Milky,Gourmand,NOTE-0632,Sandalwood Oil,25.466,15.28,35.652,base,driver
ACC-0054,Milky,Gourmand,NOTE-0663,Aldehyde C-18,19.174,11.505,26.844,base,driver
ACC-0057,Mossy,Mossy,NOTE-0452,Oakmoss Absolute,9.644,5.786,13.501,base,driver
ACC-0057,Mossy,Mossy,NOTE-0453,Vetiver Haiti,4.568,2.741,6.395,base,support
ACC-0057,Mossy,Mossy,NOTE-0463,Evernyl,3.654,2.193,5.116,base,support
ACC-0057,Mossy,Mossy,NOTE-0604,Patchouli Oil,6.115,3.669,8.561,base,support
ACC-0057,Mossy,Mossy,NOTE-0637,Galbanum Oil,70.0,42.0,98.0,heart|top,modifier
ACC-0057,Mossy,Mossy,NOTE-0644,Veramoss,6.019,3.611,8.427,base,driver
ACC-0062,Oud,Woody,NOTE-0003,Agarwood (Oud),12.385123851238511,7.431074310743107,17.339173391733915,base,driver
