accord_id,role,n_examples
ACC-0023,primary,30
ACC-0031,primary,30
ACC-0032,primary,30
ACC-0034,primary,48
ACC-0051,primary,30
ACC-0055,primary,106
ACC-0058,primary,32
ACC-0059,primary,33
ACC-0077,primary,30
ACC-0079,primary,30
ACC-0082,primary,44
ACC-0096,primary,30
ACC-0308,primary,30
ACC-0023,secondary,8
ACC-0031,secondary,7
ACC-0032,secondary,9
ACC-0034,secondary,15
ACC-0051,secondary,19
ACC-0055,secondary,48
ACC-0058,secondary,12
ACC-0059,secondary,10
ACC-0077,secondary,11
ACC-0079,secondary,2
ACC-0082,secondary,21
ACC-0096,secondary,10
ACC-0308,secondary,12
