accord_id,train_count,inverse_freq_weight,class_balanced_weight_beta0.999
ACC-0112,317,0.113613,0.130216
ACC-0170,281,0.128168,0.144407
ACC-0007,182,0.197886,0.21259
ACC-0118,148,0.243346,0.25714
ACC-0063,127,0.283584,0.296599
ACC-0295,109,0.330415,0.342541
ACC-0130,96,0.375159,0.386449
ACC-0102,96,0.375159,0.386449
ACC-0107,96,0.375159,0.386449
ACC-0171,93,0.38726,0.398326
ACC-0161,93,0.38726,0.398326
ACC-0131,93,0.38726,0.398326
ACC-0283,88,0.409264,0.419923
ACC-0144,88,0.409264,0.419923
ACC-0055,86,0.418782,0.429265
ACC-0166,80,0.45019,0.460096
ACC-0167,75,0.480203,0.489559
ACC-0134,72,0.500211,0.509202
ACC-0181,72,0.500211,0.509202
ACC-0104,71,0.507257,0.516118
ACC-0207,70,0.514503,0.523233
ACC-0285,66,0.545685,0.553847
ACC-0066,66,0.545685,0.553847
ACC-0206,65,0.55408,0.562089
ACC-0148,65,0.55408,0.562089
ACC-0281,65,0.55408,0.562089
ACC-0127,65,0.55408,0.562089
ACC-0293,64,0.562738,0.57059
ACC-0177,64,0.562738,0.57059
ACC-0209,64,0.562738,0.57059
ACC-0248,64,0.562738,0.57059
ACC-0022,63,0.57167,0.57936
ACC-0212,62,0.580891,0.588413
ACC-0109,58,0.620952,0.627748
ACC-0111,57,0.631846,0.638445
ACC-0288,57,0.631846,0.638445
ACC-0184,56,0.643129,0.649524
ACC-0280,56,0.643129,0.649524
ACC-0249,56,0.643129,0.649524
ACC-0277,56,0.643129,0.649524
ACC-0121,56,0.643129,0.649524
ACC-0172,55,0.654822,0.661006
ACC-0128,55,0.654822,0.661006
ACC-0132,53,0.679532,0.68527
ACC-0075,53,0.679532,0.68527
ACC-0236,52,0.6926,0.698102
ACC-0282,52,0.6926,0.698102
ACC-0289,50,0.720304,0.725306
ACC-0200,50,0.720304,0.725306
ACC-0162,49,0.735004,0.739741
ACC-0287,49,0.735004,0.739741
ACC-0122,49,0.735004,0.739741
ACC-0275,49,0.735004,0.739741
ACC-0187,49,0.735004,0.739741
ACC-0213,48,0.750317,0.754778
ACC-0239,48,0.750317,0.754778
ACC-0253,48,0.750317,0.754778
ACC-0222,47,0.766281,0.770454
ACC-0155,47,0.766281,0.770454
ACC-0179,46,0.782939,0.786813
ACC-0185,45,0.800338,0.803898
ACC-0174,45,0.800338,0.803898
ACC-0264,45,0.800338,0.803898
ACC-0194,43,0.837563,0.840454
ACC-0153,43,0.837563,0.840454
ACC-0142,42,0.857505,0.860037
ACC-0227,42,0.857505,0.860037
ACC-0292,41,0.87842,0.880576
ACC-0114,41,0.87842,0.880576
ACC-0163,41,0.87842,0.880576
ACC-0247,41,0.87842,0.880576
ACC-0138,41,0.87842,0.880576
ACC-0140,41,0.87842,0.880576
ACC-0159,40,0.90038,0.902142
ACC-0164,40,0.90038,0.902142
ACC-0157,40,0.90038,0.902142
ACC-0105,40,0.90038,0.902142
ACC-0125,40,0.90038,0.902142
ACC-0180,40,0.90038,0.902142
ACC-0034,40,0.90038,0.902142
ACC-0233,39,0.923467,0.924814
ACC-0214,39,0.923467,0.924814
ACC-0250,39,0.923467,0.924814
ACC-0190,39,0.923467,0.924814
ACC-0039,39,0.923467,0.924814
ACC-0050,39,0.923467,0.924814
ACC-0150,39,0.923467,0.924814
ACC-0156,39,0.923467,0.924814
ACC-0183,38,0.947769,0.94868
ACC-0123,37,0.973384,0.973836
ACC-0033,36,1.000423,1.000389
ACC-0082,36,1.000423,1.000389
ACC-0258,35,1.029006,1.02846
ACC-0199,35,1.029006,1.02846
ACC-0195,34,1.059271,1.058182
ACC-0246,34,1.059271,1.058182
ACC-0252,34,1.059271,1.058182
ACC-0197,33,1.09137,1.089706
ACC-0097,33,1.09137,1.089706
ACC-0139,33,1.09137,1.089706
ACC-0133,33,1.09137,1.089706
ACC-0106,33,1.09137,1.089706
ACC-0182,33,1.09137,1.089706
ACC-0095,33,1.09137,1.089706
ACC-0193,33,1.09137,1.089706
ACC-0175,32,1.125476,1.123201
ACC-0004,32,1.125476,1.123201
ACC-0141,32,1.125476,1.123201
ACC-0191,32,1.125476,1.123201
ACC-0080,32,1.125476,1.123201
ACC-0168,32,1.125476,1.123201
ACC-0165,31,1.161781,1.158856
ACC-0202,31,1.161781,1.158856
ACC-0254,31,1.161781,1.158856
ACC-0267,30,1.200507,1.196889
ACC-0229,30,1.200507,1.196889
ACC-0147,30,1.200507,1.196889
ACC-0284,30,1.200507,1.196889
ACC-0178,30,1.200507,1.196889
ACC-0244,29,1.241904,1.237545
ACC-0196,29,1.241904,1.237545
ACC-0145,29,1.241904,1.237545
ACC-0286,29,1.241904,1.237545
ACC-0255,28,1.286258,1.281105
ACC-0094,28,1.286258,1.281105
ACC-0192,28,1.286258,1.281105
ACC-0219,28,1.286258,1.281105
ACC-0231,28,1.286258,1.281105
ACC-0152,28,1.286258,1.281105
ACC-0237,28,1.286258,1.281105
ACC-0294,28,1.286258,1.281105
ACC-0259,28,1.286258,1.281105
ACC-0243,28,1.286258,1.281105
ACC-0092,28,1.286258,1.281105
ACC-0188,28,1.286258,1.281105
ACC-0077,28,1.286258,1.281105
ACC-0043,28,1.286258,1.281105
ACC-0079,28,1.286258,1.281105
ACC-0265,28,1.286258,1.281105
ACC-0228,28,1.286258,1.281105
ACC-0230,28,1.286258,1.281105
ACC-0220,28,1.286258,1.281105
ACC-0276,28,1.286258,1.281105
ACC-0262,28,1.286258,1.281105
ACC-0216,28,1.286258,1.281105
ACC-0154,28,1.286258,1.281105
ACC-0217,28,1.286258,1.281105
ACC-0257,28,1.286258,1.281105
ACC-0096,28,1.286258,1.281105
ACC-0189,28,1.286258,1.281105
ACC-0101,28,1.286258,1.281105
ACC-0279,28,1.286258,1.281105
ACC-0146,28,1.286258,1.281105
ACC-0290,28,1.286258,1.281105
ACC-0116,28,1.286258,1.281105
ACC-0149,28,1.286258,1.281105
ACC-0221,28,1.286258,1.281105
ACC-0215,28,1.286258,1.281105
ACC-0218,28,1.286258,1.281105
ACC-0143,28,1.286258,1.281105
ACC-0232,28,1.286258,1.281105
ACC-0108,28,1.286258,1.281105
ACC-0113,28,1.286258,1.281105
ACC-0005,28,1.286258,1.281105
ACC-0299,28,1.286258,1.281105
ACC-0263,28,1.286258,1.281105
ACC-0100,27,1.333897,1.327892
ACC-0205,27,1.333897,1.327892
ACC-0059,27,1.333897,1.327892
ACC-0251,26,1.385201,1.378278
ACC-0169,26,1.385201,1.378278
ACC-0210,26,1.385201,1.378278
ACC-0008,26,1.385201,1.378278
ACC-0051,26,1.385201,1.378278
ACC-0278,26,1.385201,1.378278
ACC-0160,26,1.385201,1.378278
ACC-0115,26,1.385201,1.378278
ACC-0204,26,1.385201,1.378278
ACC-0186,26,1.385201,1.378278
ACC-0308,26,1.385201,1.378278
ACC-0291,26,1.385201,1.378278
ACC-0058,26,1.385201,1.378278
ACC-0023,26,1.385201,1.378278
ACC-0032,26,1.385201,1.378278
ACC-0296,26,1.385201,1.378278
ACC-0245,26,1.385201,1.378278
ACC-0031,26,1.385201,1.378278
ACC-0135,26,1.385201,1.378278
ACC-0028,26,1.385201,1.378278
ACC-0124,26,1.385201,1.378278
ACC-0062,26,1.385201,1.378278
ACC-0120,26,1.385201,1.378278
ACC-0090,26,1.385201,1.378278
ACC-0151,26,1.385201,1.378278
ACC-0068,26,1.385201,1.378278
ACC-0158,24,1.500634,1.491647
ACC-0256,24,1.500634,1.491647
ACC-0002,24,1.500634,1.491647
ACC-0129,24,1.500634,1.491647
ACC-0266,24,1.500634,1.491647
