Accord_ID,Accord_Name,Accord_Category,Note_ID,Note_Name,Note_Role,Layer,Importance_Weight,Typical_Presence,Blend_Compatibility,Stability_Class
ACC-0097,Fougere,Aromatic,NOTE-0447,Lavender Absolute,Driver,Top,5,0.9,0.95,Medium
ACC-0097,Fougere,Aromatic,NOTE-0448,Lavandin Oil,Support,Top,4,0.75,0.9,Medium
ACC-0097,Fougere,Aromatic,NOTE-0449,Bergamot Oil,Modifier,Top,3,0.7,0.88,Low
ACC-0097,Fougere,Aromatic,NOTE-0450,Geranium Oil,Support,Heart,3,0.55,0.85,Medium
ACC-0097,Fougere,Aromatic,NOTE-0451,Clary Sage Oil,Support,Heart,2,0.45,0.82,Medium
ACC-0097,Fougere,Aromatic,NOTE-0134,Coumarin,Driver,Base,5,0.85,0.92,High
ACC-0097,Fougere,Aromatic,NOTE-0452,Oakmoss Absolute,Driver,Base,5,0.8,0.93,High
ACC-0097,Fougere,Aromatic,NOTE-0453,Vetiver Haiti,Support,Base,3,0.6,0.88,High
ACC-0097,Fougere,Aromatic,NOTE-0454,Cedarwood Atlas,Support,Base,3,0.65,0.87,High
ACC-0097,Fougere,Aromatic,NOTE-0205,Iso E Super,Modifier,Base,2,0.5,0.9,High
ACC-0004,Amber,Amber,NOTE-0455,Labdanum Absolute,Driver,Base,5,0.85,0.94,High
ACC-0004,Amber,Amber,NOTE-0456,Vanillin,Driver,Base,4,0.8,0.92,Medium
ACC-0004,Amber,Amber,NOTE-0457,Benzoin Siam,Support,Base,3,0.65,0.9,High
ACC-0004,Amber,Amber,NOTE-0021,Ambroxan,Modifier,Base,3,0.6,0.95,High
ACC-0004,Amber,Amber,NOTE-0458,Patchouli Alcohol,Support,Base,2,0.45,0.88,High
ACC-0095,Woody,Woody,NOTE-0459,Cedarwood Virginia,Driver,Base,5,0.85,0.93,High
ACC-0095,Woody,Woody,NOTE-0460,Vetiveryl Acetate,Support,Base,4,0.75,0.91,High
ACC-0095,Woody,Woody,NOTE-0461,Sandalore,Support,Base,3,0.6,0.9,High
ACC-0095,Woody,Woody,NOTE-0205,Iso E Super,Modifier,Base,3,0.65,0.95,High
ACC-0095,Woody,Woody,NOTE-0462,Patchouli Coeur,Modifier,Base,2,0.5,0.88,High
ACC-0097,Fougere,Aromatic,NOTE-0447,Lavender Absolute,Driver,Top,5,0.9,0.95,Medium
ACC-0097,Fougere,Aromatic,NOTE-0134,Coumarin,Driver,Base,5,0.85,0.92,High
ACC-0097,Fougere,Aromatic,NOTE-0452,Oakmoss Absolute,Driver,Base,5,0.8,0.93,High
ACC-0097,Fougere,Aromatic,NOTE-0449,Bergamot Oil,Support,Top,3,0.7,0.88,Low
ACC-0097,Fougere,Aromatic,NOTE-0450,Geranium Oil,Support,Heart,3,0.55,0.85,Medium
ACC-0097,Fougere,Aromatic,NOTE-0451,Clary Sage Oil,Support,Heart,2,0.5,0.83,Medium
ACC-0097,Fougere,Aromatic,NOTE-0453,Vetiver Haiti,Modifier,Base,2,0.45,0.88,High
ACC-0097,Fougere,Aromatic,NOTE-0454,Cedarwood Atlas,Modifier,Base,2,0.5,0.87,High
ACC-0097,Fougere,Aromatic,NOTE-0205,Iso E Super,Modifier,Base,2,0.65,0.94,High
ACC-0097,Fougere,Aromatic,NOTE-0463,Evernyl,Modifier,Base,1,0.4,0.9,High
ACC-0098,nk,Abstract,NOTE-0205,Iso E Super,Driver,Base,4,0.7,0.93,High
ACC-0099,Ink,Abstract,NOTE-0087,Cashmeran,Support,Base,3,0.6,0.9,High
ACC-0099,Ink,Abstract,NOTE-0460,Vetiveryl Acetate,Support,Base,3,0.55,0.88,High
ACC-0099,Ink,Abstract,NOTE-0464,Aldehyde C-12 MNA,Modifier,Top,2,0.4,0.82,Low
ACC-0099,Ink,Abstract,NOTE-0021,Ambroxan,Modifier,Base,2,0.65,0.94,High
ACC-0099,Ink,Abstract,NOTE-0465,Musk Ketone,Modifier,Base,1,0.35,0.9,High
ACC-0100,Dry Tea,Aromatic,NOTE-0466,Black Tea Absolute,Driver,Heart,5,0.8,0.92,Medium
ACC-0100,Dry Tea,Aromatic,NOTE-0467,Mate Absolute,Support,Heart,4,0.65,0.88,Medium
ACC-0100,Dry Tea,Aromatic,NOTE-0468,Hay Absolute,Support,Base,3,0.55,0.85,High
ACC-0100,Dry Tea,Aromatic,NOTE-0451,Clary Sage Oil,Modifier,Heart,2,0.5,0.83,Medium
ACC-0100,Dry Tea,Aromatic,NOTE-0453,Vetiver Haiti,Modifier,Base,2,0.45,0.87,High
ACC-0100,Dry Tea,Aromatic,NOTE-0205,Iso E Super,Modifier,Base,1,0.6,0.94,High
ACC-0101,Dry Incense,Resinous,NOTE-0469,Frankincense CO₂,Driver,Heart/Base,5,0.8,0.92,High
ACC-0101,Dry Incense,Resinous,NOTE-0470,Myrrh Absolute,Support,Base,4,0.65,0.9,High
ACC-0101,Dry Incense,Resinous,NOTE-0471,Birch Tar Rectified,Support,Base,3,0.5,0.86,High
ACC-0101,Dry Incense,Resinous,NOTE-0472,Guaiac Wood Oil,Support,Base,3,0.55,0.88,High
ACC-0101,Dry Incense,Resinous,NOTE-0455,Labdanum Absolute,Modifier,Base,2,0.45,0.87,High
ACC-0101,Dry Incense,Resinous,NOTE-0205,Iso E Super,Modifier,Base,1,0.6,0.94,High
ACC-0099,Ink,Abstract,NOTE-0205,Iso E Super,Driver,Base,4,0.7,0.93,High
ACC-0099,Ink,Abstract,NOTE-0087,Cashmeran,Support,Base,3,0.6,0.9,High
ACC-0099,Ink,Abstract,NOTE-0460,Vetiveryl Acetate,Support,Base,3,0.55,0.88,High
ACC-0099,Ink,Abstract,NOTE-0464,Aldehyde C-12 MNA,Modifier,Top,2,0.4,0.82,Low
ACC-0099,Ink,Abstract,NOTE-0021,Ambroxan,Modifier,Base,2,0.65,0.94,High
ACC-0099,Ink,Abstract,NOTE-0465,Musk Ketone,Modifier,Base,1,0.35,0.9,High
ACC-0100,Dry Tea,Aromatic,NOTE-0466,Black Tea Absolute,Driver,Heart,5,0.8,0.92,Medium
ACC-0100,Dry Tea,Aromatic,NOTE-0467,Mate Absolute,Support,Heart,4,0.65,0.88,Medium
ACC-0100,Dry Tea,Aromatic,NOTE-0468,Hay Absolute,Support,Base,3,0.55,0.85,High
ACC-0100,Dry Tea,Aromatic,NOTE-0451,Clary Sage Oil,Modifier,Heart,2,0.5,0.83,Medium
ACC-0100,Dry Tea,Aromatic,NOTE-0453,Vetiver Haiti,Modifier,Base,2,0.45,0.87,High
ACC-0100,Dry Tea,Aromatic,NOTE-0205,Iso E Super,Modifier,Base,1,0.6,0.94,High
ACC-0102,Saline Mineral,Mineral,NOTE-0473,Ambergris Accord,Driver,Base,5,0.75,0.95,High
ACC-0102,Saline Mineral,Mineral,NOTE-0021,Ambroxan,Driver,Base,4,0.8,0.96,High
ACC-0102,Saline Mineral,Mineral,NOTE-0474,Aldehyde C-11,Support,Top,3,0.5,0.84,Low
ACC-0102,Saline Mineral,Mineral,NOTE-0475,Seaweed Absolute,Modifier,Heart,2,0.35,0.8,Medium
ACC-0102,Saline Mineral,Mineral,NOTE-0476,Habanolide,Modifier,Base,2,0.65,0.94,High
ACC-0102,Saline Mineral,Mineral,NOTE-0205,Iso E Super,Modifier,Base,1,0.55,0.93,High
ACC-0101,Dry Incense,Resinous,NOTE-0469,Frankincense CO₂,Driver,Heart/Base,5,0.8,0.92,High
ACC-0101,Dry Incense,Resinous,NOTE-0470,Myrrh Absolute,Support,Base,4,0.65,0.9,High
ACC-0101,Dry Incense,Resinous,NOTE-0471,Birch Tar Rectified,Support,Base,3,0.5,0.86,High
ACC-0101,Dry Incense,Resinous,NOTE-0472,Guaiac Wood Oil,Support,Base,3,0.55,0.88,High
ACC-0101,Dry Incense,Resinous,NOTE-0455,Labdanum Absolute,Modifier,Base,2,0.45,0.87,High
ACC-0101,Dry Incense,Resinous,NOTE-0205,Iso E Super,Modifier,Base,1,0.6,0.94,High
ACC-0103,Cold Metallic Wood,Abstract,NOTE-0205,Iso E Super,Driver,Base,4,0.75,0.95,High
ACC-0103,Cold Metallic Wood,Abstract,NOTE-0464,Aldehyde C-12 MNA,Support,Top,3,0.55,0.85,Low
