Material_Name,CAS,IFRA_Type,Category_4_Limit,Phototoxic,Notes,IFRA_Key,IFRA_Standard_Name,All_CAS,Amendment,Prohibition_Scope
Coumarin,91-64-5,Restriction,1.5,No,,IFRA_STD_023,Coumarin,91-64-5,49,
Citronellol,106-22-9,Restriction,12,No,,IFRA_STD_022,Citronellol,106-22-9|1117-61-9|26489-01-0|6812-78-8|141-25-3|7540-51-4,49,
Geraniol,106-24-1,Restriction,4.7,No,,IFRA_STD_037,Geraniol,106-24-1,51,
Eugenol,97-53-0,Restriction,2.5,No,"Sum contributions from clove, cinnamon leaf, bay, pimento oils",IFRA_STD_035,Eugenol,97-53-0,51,
Citral,5392-40-5,Restriction,0.6,No,"Geranial + neral summed; sum contributions from lemongrass, litsea, lemon oils",IFRA_STD_021,Citral,5392-40-5|141-27-5|106-26-3,49,
Isoeugenol,97-54-1,Restriction,0.11,No,UK/EU Annex III cap 0.02 is stricter - see regulatory_uk.csv,IFRA_STD_048,Isoeugenol,97-54-1|5932-68-3,49,
Benzyl Salicylate,118-58-1,Restriction,7.3,No,,IFRA_STD_011,Benzyl salicylate,118-58-1,49,
Benzyl Benzoate,120-51-4,Restriction,4.8,No,,IFRA_STD_009,Benzyl benzoate,120-51-4,49,
Benzyl Alcohol,100-51-6,Restriction,2.5,No,,IFRA_STD_008,Benzyl alcohol,100-51-6,49,
Benzyl Cinnamate,103-41-3,Restriction,2,No,,IFRA_STD_010,Benzyl cinnamate,103-41-3,49,
Cinnamic aldehyde,104-55-2,Restriction,0.25,No,Powerful - small dose; sum contributions from cinnamon bark/cassia oils,IFRA_STD_018,Cinnamic aldehyde,104-55-2,49,
Cinnamic alcohol,104-54-1,Restriction,1.2,No,,IFRA_STD_017,Cinnamic alcohol,104-54-1,49,
Hydroxycitronellal,107-75-5,Restriction,2.1,No,UK/EU Annex III cap 1.0 is stricter - see regulatory_uk.csv,IFRA_STD_043,Hydroxycitronellal,107-75-5,51,
Cashmeran,33704-61-9,Restriction,3.8,No,DPMI,IFRA_STD_028,"6,7-Dihydro-1,1,2,3,3-pentamethyl-4(5H)-indanone (DPMI)",33704-61-9,49,
Iso E Super,54464-57-2,Restriction,20,No,OTNE,IFRA_STD_068,"1-(1,2,3,4,5,6,7,8 Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl) ethanone (OTNE)",54464-57-2|54464-59-4|68155-66-8|68155-67-9,49,
Exaltolide,106-02-5,Restriction,2.4,No,Cyclopentadecanolide,IFRA_STD_026,Cyclopentadecanolide,106-02-5,49,
Norlimbanol,70788-30-6,Restriction,1.3,No,Timberol,IFRA_STD_221,"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",70788-30-6,51,
Farnesol,4602-84-0,Restriction_Specification,1.2,No,Spec: >=96% farnesol isomers by GLC,IFRA_STD_036,Farnesol,4602-84-0|106-28-5|3790-71-4|16106-95-9|3879-60-5,49,
Oakmoss Absolute,90028-68-5,Restriction_Specification,0.1,No,Spec: atranol & chloroatranol each <100 ppm; DHA <=0.1%; no added treemoss. Oakmoss+treemoss combined <= limit. UK/EU: atranol/chloroatranol banned as substances,IFRA_STD_067,Oakmoss extracts,90028-68-5|68917-10-2|9000-50-4,49,
Treemoss,90028-67-4,Restriction_Specification,0.1,No,Spec: DHA <=0.8%; atranol & chloroatranol each <100 ppm. Oakmoss+treemoss combined <= limit,IFRA_STD_080,Treemoss extracts,90028-67-4|68648-41-9|68917-40-8,49,
Rose ketones,23696-85-7,Restriction,0.043,No,All 16 rose-ketone isomers (damascones/damascenones) summed; very powerful,IFRA_STD_077,Rose ketones,23696-85-7|23726-93-4|59739-63-8|43052-87-5|24720-09-0|23726-94-5|23726-92-3|23726-91-2|35044-68-9|57378-68-4|71048-82-3|35087-49-1|39872-57-6|70266-48-7|33673-71-1|87064-19-5,49,
Methyl ionone,1335-46-2,Restriction_Specification,30,No,Isomers summed; spec: pseudo-methyl-ionones <=2% impurity,IFRA_STD_063,"Methyl ionone, mixed isomers",1335-46-2|127-42-4|127-43-5|127-51-5|7779-30-8|79-89-0|1335-94-0,49,
Alpha-Hexyl cinnamic aldehyde,101-86-0,Restriction,9.9,No,,IFRA_STD_040,alpha-Hexyl cinnamic aldehyde,101-86-0,49,
Alpha-Amyl cinnamic aldehyde,122-40-7,Restriction,7,No,,IFRA_STD_005,alpha-Amyl cinnamic aldehyde,122-40-7,49,
Alpha-Amyl cinnamic alcohol,101-85-9,Restriction,1.5,No,,IFRA_STD_004,alpha-Amyl cinnamic alcohol,101-85-9,49,
Anisyl alcohol,105-13-5,Restriction,0.21,No,,IFRA_STD_006,Anisyl alcohol,105-13-5|1331-81-3,49,
Benzaldehyde,100-52-7,Restriction,0.25,No,,IFRA_STD_007,Benzaldehyde,100-52-7,49,
Carvone,99-49-0,Restriction,0.59,No,,IFRA_STD_016,Carvone,99-49-0|2244-16-8|6485-40-1,49,
Cyclamen aldehyde,103-95-7,Restriction_Specification,0.95,No,Spec: <=1.5% cyclamen alcohol,IFRA_STD_025,Cyclamen aldehyde,103-95-7,49,
Lilial,80-54-6,Restriction_Prohibition,1.4,No,IFRA: prohibited in Cat 1 & 6 only. BANNED outright in UK/EU cosmetics -> regulatory_uk.csv REJECTS it,IFRA_STD_015,p-tert-Butyl-α-methylhydrocinnamic aldehyde (p-BMHCA),80-54-6,49,category
Peru balsam,8007-00-9,Restriction_Prohibition,0.41,No,Crude PROHIBITED (also UK/EU Annex II); extracts/distillates only,IFRA_STD_071,Peru balsam,8007-00-9,49,grade
Linalool,78-70-6,Specification,,No,Spec: peroxide value <20 mmol/L (antioxidant e.g. 0.1% BHT),IFRA_STD_187,Linalool,78-70-6|126-90-9|126-91-0,38,
Limonene,138-86-3,Specification,,No,Spec: peroxide value <20 mmol/L (antioxidant e.g. 0.1% BHT),IFRA_STD_186,Limonene,138-86-3|7705-14-8|5989-27-5|5989-54-8,29,
Farnesal,19317-11-4,Restriction,0.6,No,,IFRA_STD_202,Farnesal,19317-11-4,49,
Citronellal,106-23-0,Restriction,0.49,No,,IFRA_STD_206,Citronellal,106-23-0|5949-05-3,49,
Cedrene,11028-42-5,Restriction,1.5,No,Isomers summed,IFRA_STD_197,Cedrene,11028-42-5|469-61-4|546-28-1,49,
